order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  114	 198	18.7	   4.3206	 5.3765
 1	  140	 196	17.3	   4.7360	 4.4893
 2	  248	 217	24.9	   4.9992	 5.5031
 3	  288	 204	25.5	   5.3233	 5.2374
 4	  325	 210	25.5	   5.1768	 4.7847
 5	  385	 212	25.9	   5.0476	 5.0301
 6	  426	 197	29.3	   5.1068	 5.1674
 7	  458	 181	27.9	   4.8437	 5.4652
 8	  482	 176	25.3	   5.3068	 5.3190
 9	  509	 145	22.2	   5.2246	 4.6022
10	  629	 188	24.6	   4.9681	 5.4081
11	  741	 184	26.3	   5.0971	 4.9261
12	  806	 162	26.6	   4.9611	 5.9640
13	  829	 134	27.2	   5.0582	 5.5188
14	  902	 128	22.4	   5.2309	 5.1532
15	  916	 130	22.8	   4.9383	 5.2546
16	 1029	 124	20.5	   5.1003	 4.7513
17	  997	 138	20.4	   5.2568	 5.1145
18	 1130	 106	27.5	   4.9905	 5.4589
19	 1274	 127	25.4	   5.1150	 5.3302
20	 1300	 126	24.2	   4.5634	 5.4797
21	 1505	 123	25.3	   5.0088	 6.7018
22	 1477	 120	28.0	   5.2837	 5.6925
23	 1510	 120	26.2	   5.2305	 6.1250
24	 1582	 101	30.4	   5.1667	 6.1117
25	 1679	  90	24.8	   4.8358	 6.0333
26	 1781	  83	25.9	   4.9457	 6.1803
27	 1919	  85	20.0	   4.9171	 5.6846
28	 1959	  60	17.7	   5.4269	 5.7395
29	 2060	  56	15.7	   4.8720	 5.8494
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2430	  37	23.0	   4.8805	 5.6311
32	 2400	  84	21.7	   5.0938	 5.2916
33	 2678	  51	21.5	   4.9949	 5.4602
34	 2493	  42	22.2	   5.0089	 6.2539
35	 2187	  13	26.7	   4.8866	 6.3243
36	 2638	  26	13.2	   4.7249	 6.0171
37	 2665	  53	14.5	   4.9207	 5.7242
38	    0	   0	 0.0	   0.0000	 0.0000
