order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  108	 198	19.5	   4.6648	 5.4719
 1	  133	 196	17.6	   4.7328	 4.5659
 2	  234	 217	25.3	   4.7400	 5.2505
 3	  273	 204	26.1	   4.9442	 5.0824
 4	  311	 210	25.7	   4.9099	 4.8181
 5	  368	 212	26.0	   4.7298	 5.0220
 6	  411	 197	29.0	   4.8558	 5.2050
 7	  440	 181	29.0	   4.5330	 5.3671
 8	  461	 176	25.7	   5.0872	 5.2891
 9	  488	 145	21.8	   5.1619	 4.7501
10	  607	 188	24.6	   4.8110	 5.4236
11	  710	 184	26.7	   4.8603	 4.8546
12	  774	 162	26.7	   4.8448	 6.0820
13	  796	 134	27.2	   4.7613	 5.5149
14	  866	 128	23.2	   5.0578	 5.1302
15	  876	 130	22.5	   4.7526	 5.4052
16	  995	 124	20.3	   4.8525	 4.6641
17	  961	 138	20.4	   5.0083	 5.0835
18	 1083	 106	27.5	   4.8600	 5.3902
19	 1231	 127	25.6	   4.8358	 5.2931
20	 1234	 126	24.6	   4.2721	 5.5449
21	 1440	 123	25.4	   4.7088	 6.7240
22	 1417	 120	28.0	   4.9868	 5.6656
23	 1444	 120	26.2	   4.9420	 6.1579
24	 1512	 101	30.3	   4.9059	 6.0907
25	 1600	  90	24.4	   4.6828	 5.9328
26	 1705	  83	25.8	   4.6060	 6.2220
27	 1834	  85	19.7	   4.7730	 5.7408
28	 1860	  60	17.9	   4.9610	 5.7358
29	 1946	  56	15.7	   4.7744	 5.7562
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2296	  37	23.2	   4.7749	 5.5556
32	 2279	  84	21.6	   4.7924	 5.3400
33	 2504	  51	21.4	   4.7970	 5.5661
34	 2336	  42	22.5	   4.6839	 6.5026
35	 1970	  13	27.6	   4.6812	 6.0203
36	 2486	  26	13.1	   4.7581	 5.9987
37	 2455	  53	14.1	   4.8474	 5.7713
38	    0	   0	 0.0	   0.0000	 0.0000
