order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  124	 198	19.4	   4.5184	 5.8062
 1	  151	 196	17.2	   4.7247	 4.6025
 2	  272	 217	25.3	   4.9635	 5.4580
 3	  317	 204	25.8	   5.0335	 5.2445
 4	  358	 210	26.0	   5.0754	 4.7652
 5	  426	 212	26.3	   4.8953	 5.0847
 6	  471	 197	29.0	   4.9332	 5.2215
 7	  506	 181	28.2	   4.6611	 5.5154
 8	  531	 176	25.4	   5.1443	 5.1896
 9	  563	 145	21.9	   5.1395	 4.7661
10	  696	 188	24.4	   4.9058	 5.4561
11	  824	 184	26.1	   4.8723	 4.9490
12	  887	 162	26.6	   4.8599	 6.1550
13	  913	 134	27.5	   4.8836	 5.5344
14	  990	 128	22.9	   5.1179	 5.2598
15	 1000	 130	22.6	   4.9080	 5.4501
16	 1126	 124	20.3	   4.9860	 4.7714
17	 1091	 138	20.2	   5.1143	 5.0824
18	 1230	 106	27.3	   4.8793	 5.4507
19	 1390	 127	25.5	   5.0118	 5.3322
20	 1400	 126	24.6	   4.3511	 5.4764
21	 1629	 123	25.5	   4.7566	 6.6881
22	 1596	 120	28.3	   5.0587	 5.7428
23	 1627	 120	26.1	   5.0257	 6.1015
24	 1706	 101	29.9	   4.8848	 6.2010
25	 1797	  90	24.7	   4.7112	 6.0046
26	 1943	  83	25.7	   4.7552	 6.2689
27	 2060	  85	19.8	   4.8844	 5.8596
28	 2089	  60	18.1	   5.2103	 5.8318
29	 2200	  56	15.7	   4.6758	 6.0028
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2569	  37	22.9	   4.7521	 5.6043
32	 2564	  84	21.8	   4.8298	 5.3633
33	 2860	  51	22.0	   5.2757	 5.2100
34	 2635	  42	22.2	   4.7188	 6.3022
35	 2283	  13	27.4	   4.7059	 6.0391
36	 2809	  26	12.9	   4.6484	 6.0914
37	 2809	  53	14.2	   4.8332	 5.6478
38	    0	   0	 0.0	   0.0000	 0.0000
