order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  114	 198	18.6	   4.2869	 5.8424
 1	  139	 196	18.3	   4.6704	 4.7152
 2	  249	 217	25.3	   4.7865	 5.3405
 3	  289	 204	25.8	   4.9248	 5.1373
 4	  327	 210	25.8	   4.9804	 4.9262
 5	  385	 212	26.0	   4.8538	 5.0566
 6	  430	 197	29.1	   4.8292	 5.1981
 7	  460	 181	28.5	   4.5596	 5.5066
 8	  485	 176	25.5	   5.1620	 5.2274
 9	  510	 145	22.1	   4.9136	 4.6602
10	  631	 188	24.7	   4.8142	 5.3855
11	  747	 184	26.5	   4.8029	 4.8852
12	  814	 162	26.5	   4.8079	 6.1295
13	  838	 134	27.5	   4.8488	 5.5268
14	  909	 128	22.3	   5.0471	 5.2360
15	  915	 130	22.5	   4.7573	 5.3745
16	 1036	 124	20.5	   4.9491	 4.5990
17	 1005	 138	20.3	   4.9307	 5.1448
18	 1133	 106	27.4	   4.7926	 5.3778
19	 1279	 127	25.7	   4.8510	 5.2725
20	 1297	 126	24.4	   4.3761	 5.3586
21	 1511	 123	25.5	   4.7518	 6.5905
22	 1485	 120	28.2	   5.0373	 5.6240
23	 1513	 120	25.9	   4.9820	 6.1476
24	 1582	 101	30.1	   4.8952	 6.1026
25	 1672	  90	25.0	   4.6783	 5.9763
26	 1779	  83	25.6	   4.5699	 6.2725
27	 1916	  85	20.2	   4.7168	 5.6316
28	 1946	  60	17.6	   5.1211	 5.7645
29	 2057	  56	15.5	   4.7641	 5.9135
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2419	  37	23.2	   4.6544	 5.5373
32	 2383	  84	21.6	   4.7098	 5.3263
33	 2667	  51	21.5	   4.7718	 5.5781
34	 2459	  42	22.1	   4.6783	 6.2878
35	 2129	  13	27.7	   4.6475	 5.8547
36	 2584	  26	13.0	   4.7478	 5.8358
37	 2602	  53	14.3	   4.9461	 5.8076
38	    0	   0	 0.0	   0.0000	 0.0000
