order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  120	 198	20.0	   4.2616	 5.4236
 1	  146	 196	18.6	   4.8488	 4.5562
 2	  262	 217	26.2	   4.8599	 5.2995
 3	  304	 204	25.8	   4.9727	 5.0684
 4	  348	 210	25.9	   5.0157	 4.8480
 5	  413	 212	26.7	   4.7309	 5.0677
 6	  459	 197	29.4	   4.9107	 5.2500
 7	  497	 181	28.5	   4.6242	 5.4784
 8	  520	 176	25.5	   5.0826	 5.3262
 9	  552	 145	22.5	   5.0256	 4.6795
10	  686	 188	24.8	   4.8580	 5.4565
11	  806	 184	26.2	   4.8118	 4.9046
12	  879	 162	26.6	   4.8486	 6.1420
13	  901	 134	27.3	   4.7672	 5.5061
14	  980	 128	22.5	   5.0808	 5.1243
15	  989	 130	23.0	   4.7863	 5.3235
16	 1119	 124	20.2	   4.8881	 4.7281
17	 1088	 138	20.4	   5.0635	 5.1277
18	 1223	 106	27.5	   4.8169	 5.4612
19	 1391	 127	25.7	   4.8974	 5.2912
20	 1397	 126	24.7	   4.3566	 5.4358
21	 1633	 123	25.3	   4.7206	 6.5429
22	 1599	 120	28.5	   4.9824	 5.6354
23	 1635	 120	26.2	   4.9660	 6.1331
24	 1709	 101	30.6	   4.9308	 6.0815
25	 1814	  90	25.2	   4.6370	 5.8169
26	 1924	  83	26.0	   4.5764	 6.2344
27	 2062	  85	19.8	   4.7968	 5.7455
28	 2099	  60	18.1	   4.9796	 5.6444
29	 2190	  56	15.8	   4.7094	 5.8435
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2585	  37	23.6	   4.5649	 5.5402
32	 2568	  84	21.9	   4.8454	 5.2879
33	 2843	  51	21.2	   4.7953	 5.5731
34	 2646	  42	22.5	   4.6614	 6.2718
35	 2214	  13	28.6	   4.8988	 5.6877
36	 2820	  26	13.3	   4.6437	 5.7991
37	 2793	  53	14.0	   4.7055	 5.7406
38	    0	   0	 0.0	   0.0000	 0.0000
