order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  116	 198	19.8	   4.6243	 5.4152
 1	  142	 196	17.6	   4.5741	 4.3458
 2	  255	 217	25.9	   5.0816	 5.3959
 3	  298	 204	25.8	   5.1876	 5.2167
 4	  337	 210	25.2	   5.2091	 4.9184
 5	  396	 212	26.4	   5.0423	 5.1203
 6	  438	 197	29.5	   5.2002	 5.2587
 7	  470	 181	28.7	   4.8191	 5.5064
 8	  495	 176	25.4	   5.5378	 5.3606
 9	  530	 145	21.9	   5.3175	 4.6718
10	  646	 188	24.9	   5.0204	 5.3610
11	  761	 184	26.5	   5.0727	 4.8787
12	  829	 162	26.5	   5.0332	 6.2339
13	  855	 134	27.7	   5.0420	 5.5166
14	  923	 128	22.5	   5.3651	 5.1977
15	  936	 130	22.5	   5.0583	 5.4112
16	 1052	 124	20.6	   5.1751	 4.6635
17	 1017	 138	20.5	   5.3048	 4.9824
18	 1150	 106	27.5	   5.0276	 5.3758
19	 1305	 127	25.7	   5.1274	 5.2573
20	 1315	 126	24.8	   4.5259	 5.4722
21	 1530	 123	25.4	   4.9911	 6.5066
22	 1498	 120	28.3	   5.2754	 5.6481
23	 1528	 120	26.0	   5.1807	 6.1033
24	 1609	 101	30.0	   5.2091	 6.1681
25	 1687	  90	24.8	   4.9656	 6.1186
26	 1799	  83	25.6	   4.9141	 6.1752
27	 1930	  85	20.1	   5.0232	 5.8071
28	 1975	  60	17.7	   5.3981	 5.7092
29	 2058	  56	15.8	   5.0922	 5.8280
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2411	  37	23.1	   4.9943	 5.5035
32	 2384	  84	21.8	   5.1294	 5.3133
33	 2647	  51	21.3	   5.1200	 5.6104
34	 2448	  42	22.2	   4.9469	 6.2362
35	 2086	  13	27.2	   4.8602	 6.0448
36	 2572	  26	13.2	   4.9141	 5.7766
37	 2556	  53	13.8	   5.0359	 5.7711
38	    0	   0	 0.0	   0.0000	 0.0000
