order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   41	 198	 9.0	   6.6143	 1.9093
 1	   44	 196	 4.9	   6.2861	 4.5757
 2	   62	 217	15.9	   5.5508	 5.2231
 3	   77	 204	18.5	   5.1662	 4.9501
 4	   95	 210	19.7	   5.3116	 4.6028
 5	  123	 212	21.3	   4.9244	 5.0999
 6	  151	 197	23.7	   5.1888	 5.4047
 7	  202	 181	22.2	   4.7700	 5.9972
 8	  213	 176	22.7	   5.5049	 5.2318
 9	  252	 145	20.3	   5.2560	 4.5073
10	  345	 188	23.6	   5.0443	 5.5077
11	  445	 184	26.1	   5.2230	 4.9584
12	  540	 162	26.4	   5.0454	 6.0004
13	  597	 134	27.0	   5.0339	 5.4513
14	  705	 128	22.4	   5.3980	 5.3131
15	  766	 130	22.9	   5.0433	 5.3418
16	  926	 124	20.1	   5.0708	 4.5098
17	  958	 138	20.3	   5.1722	 5.1532
18	 1123	 106	27.4	   5.0110	 5.4448
19	 1339	 127	25.7	   5.1463	 5.2402
20	 1395	 126	24.6	   4.6367	 5.4014
21	 1684	 123	25.4	   5.0093	 6.7271
22	 1697	 120	28.4	   5.2633	 5.5952
23	 1774	 120	25.8	   5.2263	 6.2407
24	 1900	 101	30.3	   5.1232	 6.0958
25	 2043	  90	24.6	   4.8970	 5.9215
26	 2208	  83	26.0	   4.8524	 6.2272
27	 2375	  85	19.9	   5.0226	 5.8675
28	 2427	  60	18.0	   5.3227	 5.6643
29	 2557	  56	15.9	   5.0145	 5.8656
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2990	  37	22.9	   4.7847	 5.4956
32	 2938	  84	21.8	   5.0287	 5.2620
33	 3211	  51	21.7	   5.1282	 5.4455
34	 2958	  42	22.2	   4.9579	 6.3298
35	 2504	  13	28.4	   4.8050	 6.0397
36	 3050	  26	13.5	   4.7525	 5.7465
37	 2996	  53	14.0	   4.9191	 5.7843
38	    0	   0	 0.0	   0.0000	 0.0000
