order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   73	 198	12.7	   3.9630	 6.5083
 1	   86	 196	13.6	   4.7637	 4.5874
 2	  148	 217	23.2	   4.9369	 5.7644
 3	  179	 204	23.6	   5.0159	 5.1320
 4	  211	 210	24.0	   5.2852	 4.8078
 5	  257	 212	25.9	   4.9776	 4.9869
 6	  298	 197	28.4	   5.0577	 5.2340
 7	  333	 181	27.4	   4.6840	 5.5135
 8	  365	 176	24.6	   5.3965	 5.3576
 9	  404	 145	21.4	   5.1857	 4.6467
10	  511	 188	23.1	   4.4929	 5.6152
11	  612	 184	26.0	   4.9497	 4.8868
12	  692	 162	26.3	   4.9986	 6.0464
13	  731	 134	27.2	   4.8462	 5.5260
14	  813	 128	22.4	   5.1689	 5.1279
15	  843	 130	22.5	   4.9262	 5.3252
16	  975	 124	20.0	   4.9028	 4.8043
17	  965	 138	20.3	   5.1107	 5.0856
18	 1109	 106	27.6	   4.8927	 5.3562
19	 1273	 127	26.1	   5.0309	 5.2647
20	 1297	 126	24.8	   4.4128	 5.4484
21	 1532	 123	25.4	   4.9107	 6.5807
22	 1515	 120	28.2	   5.0762	 5.6590
23	 1562	 120	26.2	   5.0950	 6.0617
24	 1660	 101	30.3	   5.0300	 6.0088
25	 1773	  90	25.0	   4.7724	 5.9340
26	 1899	  83	25.9	   4.7015	 6.2669
27	 2058	  85	19.9	   4.8411	 5.7745
28	 2103	  60	18.4	   5.1423	 5.6492
29	 2209	  56	15.9	   4.8849	 6.0771
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2614	  37	23.0	   4.8631	 5.6407
32	 2589	  84	21.8	   4.8645	 5.2695
33	 2851	  51	21.8	   4.9680	 5.4439
34	 2669	  42	22.3	   4.7272	 6.3220
35	 2227	  13	27.6	   4.7940	 5.9513
36	 2808	  26	12.8	   4.6479	 6.3142
37	 2802	  53	13.8	   4.8457	 5.9098
38	    0	   0	 0.0	   0.0000	 0.0000
