order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  110	 198	17.8	   4.2272	 5.7029
 1	  132	 196	17.8	   4.9546	 4.8186
 2	  236	 217	25.3	   4.7286	 5.3965
 3	  271	 204	25.5	   5.0775	 5.2229
 4	  312	 210	26.1	   4.9625	 4.7774
 5	  369	 212	26.3	   4.7197	 4.9703
 6	  408	 197	28.9	   4.9212	 5.2823
 7	  442	 181	28.4	   4.6865	 5.4687
 8	  461	 176	25.4	   5.1361	 5.3341
 9	  493	 145	21.7	   4.9983	 4.7619
10	  610	 188	24.8	   4.7590	 5.2969
11	  719	 184	26.5	   4.8592	 4.9696
12	  784	 162	26.7	   4.8663	 6.1601
13	  812	 134	27.8	   4.8928	 5.5748
14	  882	 128	22.5	   5.0938	 5.2026
15	  894	 130	22.5	   4.8818	 5.4487
16	 1010	 124	20.2	   4.8401	 4.7632
17	  984	 138	20.3	   5.0416	 5.2243
18	 1112	 106	27.5	   4.7242	 5.3644
19	 1261	 127	25.6	   4.9184	 5.2946
20	 1269	 126	24.6	   4.2865	 5.4124
21	 1486	 123	25.4	   4.7542	 6.6457
22	 1466	 120	28.0	   5.0682	 5.6727
23	 1496	 120	25.9	   4.9088	 6.1962
24	 1571	 101	30.3	   4.9399	 6.1150
25	 1667	  90	24.6	   4.6606	 6.0532
26	 1797	  83	25.8	   4.6850	 6.2547
27	 1911	  85	20.0	   4.6868	 5.7806
28	 1955	  60	17.4	   5.2059	 5.6102
29	 2052	  56	16.1	   4.6282	 5.8633
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2439	  37	23.0	   4.6738	 5.5573
32	 2420	  84	21.9	   4.8550	 5.3009
33	 2719	  51	21.3	   4.8026	 5.6387
34	 2506	  42	22.5	   4.7669	 6.3264
35	 2144	  13	26.8	   4.6054	 5.9025
36	 2662	  26	13.1	   4.7112	 5.7862
37	 2671	  53	13.7	   4.8458	 5.7000
38	    0	   0	 0.0	   0.0000	 0.0000
