order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  112	 198	20.1	   4.3607	 5.9585
 1	  139	 196	18.6	   4.6177	 4.4295
 2	  247	 217	25.6	   4.9110	 5.4008
 3	  285	 204	26.1	   5.0254	 5.1098
 4	  323	 210	25.6	   5.0329	 4.8130
 5	  382	 212	26.7	   4.7909	 4.9444
 6	  424	 197	29.2	   5.0303	 5.2524
 7	  457	 181	28.1	   4.6705	 5.4520
 8	  479	 176	25.5	   5.2023	 5.2134
 9	  507	 145	22.3	   5.1577	 4.5962
10	  627	 188	24.6	   4.9637	 5.4228
11	  732	 184	26.3	   4.9457	 4.9080
12	  801	 162	26.7	   4.8200	 6.1972
13	  822	 134	27.4	   4.9469	 5.5759
14	  891	 128	22.9	   5.2001	 5.0404
15	  901	 130	22.3	   4.9064	 5.5036
16	 1020	 124	20.3	   4.9416	 4.7385
17	  989	 138	20.4	   5.0595	 5.0271
18	 1110	 106	27.5	   4.7999	 5.4179
19	 1264	 127	26.0	   4.8984	 5.1854
20	 1272	 126	24.7	   4.3667	 5.4055
21	 1485	 123	25.6	   4.8470	 6.4370
22	 1452	 120	28.3	   5.1038	 5.6312
23	 1481	 120	26.1	   4.9845	 6.0675
24	 1553	 101	30.4	   4.9909	 5.9611
25	 1643	  90	24.8	   4.7716	 6.0782
26	 1754	  83	26.0	   4.7106	 6.1830
27	 1877	  85	20.1	   4.7545	 5.6358
28	 1925	  60	18.1	   5.2256	 5.6703
29	 2011	  56	16.1	   4.7188	 5.9420
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2370	  37	23.6	   4.7384	 5.5725
32	 2347	  84	22.0	   4.9051	 5.2768
33	 2592	  51	21.5	   4.8005	 5.4926
34	 2427	  42	22.4	   4.8057	 6.3772
35	 2074	  13	27.4	   4.7202	 6.0123
36	 2577	  26	12.6	   4.7378	 6.1479
37	 2562	  53	14.2	   4.8438	 5.7801
38	    0	   0	 0.0	   0.0000	 0.0000
