order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  121	 198	18.7	   4.3484	 5.7497
 1	  153	 196	17.5	   4.6878	 4.6868
 2	  275	 217	25.5	   4.8872	 5.5069
 3	  328	 204	26.1	   5.0132	 5.1941
 4	  381	 210	25.5	   5.0399	 4.8135
 5	  451	 212	26.0	   4.8612	 5.0650
 6	  506	 197	29.2	   4.9295	 5.2597
 7	  552	 181	28.6	   4.6897	 5.4263
 8	  585	 176	25.0	   5.1921	 5.3283
 9	  628	 145	22.2	   5.1593	 4.6591
10	  782	 188	24.6	   4.8695	 5.3987
11	  928	 184	26.1	   4.9271	 4.8821
12	 1018	 162	26.6	   4.8765	 6.0241
13	 1059	 134	27.3	   4.7905	 5.5176
14	 1153	 128	22.5	   5.0752	 5.1759
15	 1169	 130	22.4	   4.8637	 5.3544
16	 1330	 124	20.3	   4.9237	 4.6955
17	 1293	 138	20.2	   5.0337	 5.1024
18	 1472	 106	27.4	   4.7854	 5.4297
19	 1672	 127	25.7	   4.9508	 5.3324
20	 1704	 126	24.6	   4.3226	 5.4504
21	 1987	 123	25.4	   4.7648	 6.5985
22	 1952	 120	28.4	   5.0623	 5.6490
23	 2000	 120	26.0	   4.9490	 6.1896
24	 2102	 101	30.3	   4.9160	 6.1261
25	 2238	  90	24.8	   4.7310	 5.9942
26	 2383	  83	25.8	   4.6886	 6.2905
27	 2565	  85	20.2	   4.7087	 5.7093
28	 2614	  60	17.9	   5.0814	 5.7589
29	 2755	  56	16.0	   4.8197	 5.8829
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3237	  37	23.2	   4.6246	 5.5820
32	 3219	  84	21.8	   4.8131	 5.2821
33	 3576	  51	21.5	   4.8139	 5.5596
34	 3344	  42	22.0	   4.6505	 6.2689
35	 2850	  13	27.8	   4.7094	 5.6967
36	 3567	  26	13.1	   4.6794	 5.7166
37	 3535	  53	13.8	   4.7943	 5.7839
38	    0	   0	 0.0	   0.0000	 0.0000
