order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   36	 198	12.4	  -2.1178	 0.6445
 1	   35	 196	11.9	  33.7187	-0.5046
 2	   35	 217	12.8	 -22.8090	 0.5283
 3	   38	 204	 8.7	  26.8131	-0.5820
 4	   38	 210	 3.3	   4.0831	 5.0406
 5	   41	 212	10.0	 -14.2351	 0.3850
 6	   44	 197	 5.6	   7.7034	 4.7674
 7	   49	 181	11.7	  11.3039	 0.7234
 8	   56	 176	10.7	   5.6524	 4.6039
 9	   67	 145	10.7	   4.5242	 4.6078
10	   86	 188	18.3	   4.9834	 5.2877
11	  118	 184	21.1	   4.9333	 4.9633
12	  157	 162	22.6	   4.3573	 6.2357
13	  195	 134	22.6	   4.7375	 5.5900
14	  257	 128	20.7	   5.0504	 5.4096
15	  316	 130	20.3	   4.9294	 5.2630
16	  436	 124	18.8	   4.9936	 4.6445
17	  494	 138	19.6	   4.8219	 5.0950
18	  632	 106	26.6	   4.8708	 5.3492
19	  817	 127	25.2	   4.9347	 5.2293
20	  911	 126	24.1	   4.2507	 5.4200
21	 1163	 123	24.9	   4.7780	 6.6099
22	 1237	 120	27.8	   5.0294	 5.6215
23	 1350	 120	26.0	   4.8898	 6.1450
24	 1504	 101	30.0	   4.9518	 6.0797
25	 1663	  90	24.8	   4.7209	 5.9487
26	 1846	  83	25.8	   4.6889	 6.1546
27	 2041	  85	20.1	   4.7065	 5.7147
28	 2123	  60	17.8	   5.1294	 5.5590
29	 2281	  56	15.8	   4.8607	 5.8740
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2774	  37	23.0	   4.6779	 5.6348
32	 2761	  84	21.8	   4.8614	 5.2603
33	 3059	  51	21.2	   4.7852	 5.5220
34	 2856	  42	22.5	   4.6251	 6.2860
35	 2491	  13	27.7	   4.6374	 5.8718
36	 2996	  26	13.3	   4.4497	 5.8382
37	 2983	  53	14.2	   4.7003	 5.7401
38	    0	   0	 0.0	   0.0000	 0.0000
