order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  108	 198	18.3	   4.4138	 5.7771
 1	  132	 196	16.6	   4.7667	 4.9991
 2	  235	 217	25.8	   4.7412	 5.4047
 3	  279	 204	25.4	   5.0416	 5.0990
 4	  314	 210	25.8	   4.9264	 4.7683
 5	  372	 212	26.5	   4.8534	 5.0004
 6	  413	 197	29.6	   4.8742	 5.1780
 7	  444	 181	28.8	   4.5096	 5.4471
 8	  467	 176	25.8	   5.0555	 5.2678
 9	  501	 145	22.2	   5.0611	 4.6282
10	  619	 188	24.7	   4.7689	 5.4041
11	  733	 184	26.5	   4.8112	 4.9440
12	  797	 162	26.4	   4.8549	 6.1178
13	  823	 134	27.5	   4.8533	 5.4606
14	  894	 128	22.7	   5.1517	 5.1832
15	  908	 130	22.6	   4.7714	 5.3030
16	 1023	 124	20.6	   4.7835	 4.6473
17	  994	 138	20.4	   5.0627	 5.1391
18	 1122	 106	27.5	   4.7737	 5.3626
19	 1276	 127	25.8	   4.8481	 5.2652
20	 1289	 126	24.5	   4.3796	 5.4309
21	 1506	 123	25.5	   4.7950	 6.5712
22	 1483	 120	28.4	   5.0837	 5.6470
23	 1517	 120	26.2	   4.9511	 6.1624
24	 1593	 101	30.3	   4.9105	 6.0633
25	 1688	  90	24.9	   4.6954	 5.9172
26	 1801	  83	25.5	   4.6013	 6.2378
27	 1946	  85	19.6	   4.6192	 5.8926
28	 1972	  60	18.2	   5.1511	 5.4953
29	 2079	  56	15.9	   4.6863	 5.8595
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2465	  37	23.3	   4.6173	 5.5272
32	 2449	  84	22.1	   4.7968	 5.2869
33	 2709	  51	21.5	   4.6912	 5.6498
34	 2529	  42	22.6	   4.6540	 6.4200
35	 2145	  13	27.8	   4.6615	 5.9149
36	 2681	  26	13.3	   4.6444	 5.7674
37	 2691	  53	13.9	   4.7975	 5.5878
38	    0	   0	 0.0	   0.0000	 0.0000
