order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  111	 198	18.6	   4.7391	 6.2249
 1	  137	 196	17.5	   4.7502	 4.6577
 2	  243	 217	25.3	   4.8407	 5.5994
 3	  282	 204	26.1	   5.0696	 5.1583
 4	  325	 210	25.3	   5.1929	 4.9141
 5	  379	 212	26.4	   4.9743	 5.0532
 6	  420	 197	29.0	   5.0179	 5.2983
 7	  454	 181	28.3	   4.6073	 5.4547
 8	  478	 176	25.0	   5.3402	 5.3731
 9	  508	 145	21.9	   5.4061	 4.6964
10	  629	 188	24.8	   4.9856	 5.4567
11	  734	 184	26.3	   4.9739	 4.9694
12	  804	 162	26.7	   5.0038	 6.0934
13	  832	 134	27.8	   4.8768	 5.5180
14	  900	 128	22.3	   5.1902	 5.3504
15	  909	 130	22.7	   4.9623	 5.4318
16	 1034	 124	19.9	   4.9736	 4.8192
17	 1003	 138	20.2	   5.0783	 5.1115
18	 1128	 106	27.5	   4.9176	 5.4424
19	 1291	 127	25.4	   4.9991	 5.3635
20	 1288	 126	24.7	   4.3899	 5.4136
21	 1509	 123	25.4	   4.8615	 6.7479
22	 1483	 120	28.2	   5.1389	 5.6777
23	 1511	 120	25.9	   5.0853	 6.1679
24	 1589	 101	30.0	   4.9928	 6.1307
25	 1674	  90	25.0	   4.7722	 5.9831
26	 1800	  83	25.9	   4.8007	 6.3015
27	 1922	  85	19.8	   4.8325	 5.8562
28	 1973	  60	18.0	   5.3024	 5.8029
29	 2059	  56	15.7	   4.9091	 5.9960
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2431	  37	22.9	   4.6547	 5.6667
32	 2424	  84	22.0	   4.9173	 5.4583
33	 2662	  51	21.5	   4.8855	 5.5665
34	 2481	  42	22.4	   4.9365	 6.2141
35	 2103	  13	27.8	   4.9104	 6.0823
36	 2644	  26	13.1	   4.7018	 5.8278
37	 2644	  53	13.8	   4.5991	 5.8267
38	    0	   0	 0.0	   0.0000	 0.0000
