order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   69	 198	12.4	   4.1738	 5.4013
 1	   84	 196	12.3	   5.2778	 3.8860
 2	  151	 217	22.6	   5.0281	 5.5849
 3	  182	 204	23.9	   5.4500	 5.3128
 4	  221	 210	24.5	   5.1942	 4.9139
 5	  275	 212	24.4	   5.1337	 5.1372
 6	  322	 197	28.3	   5.2255	 5.2289
 7	  369	 181	27.4	   4.8353	 5.4965
 8	  409	 176	24.5	   5.4655	 5.3423
 9	  455	 145	21.6	   5.3368	 4.6582
10	  581	 188	23.5	   4.7378	 5.4228
11	  710	 184	25.9	   5.1550	 4.9335
12	  808	 162	26.0	   5.1355	 6.1062
13	  858	 134	27.8	   5.1512	 5.5922
14	  956	 128	22.4	   5.3302	 5.2953
15	  996	 130	22.5	   5.0840	 5.3803
16	 1148	 124	20.1	   5.2064	 4.7097
17	 1142	 138	20.5	   5.2135	 5.1068
18	 1309	 106	27.4	   5.0737	 5.4626
19	 1503	 127	25.8	   5.2178	 5.3285
20	 1541	 126	24.9	   4.6548	 5.3602
21	 1810	 123	25.4	   5.0638	 6.5793
22	 1792	 120	28.4	   5.3327	 5.7241
23	 1846	 120	26.1	   5.2225	 6.1123
24	 1952	 101	30.5	   5.1100	 6.1308
25	 2078	  90	25.1	   4.9537	 5.9436
26	 2208	  83	26.0	   4.8915	 6.2421
27	 2388	  85	19.8	   5.0355	 5.7635
28	 2415	  60	17.8	   5.3403	 5.5980
29	 2550	  56	15.9	   4.9252	 5.7993
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2970	  37	23.1	   4.9224	 5.5576
32	 2933	  84	22.0	   5.0627	 5.3307
33	 3260	  51	21.3	   5.1572	 5.5527
34	 2999	  42	22.2	   5.0161	 6.4144
35	 2572	  13	27.8	   5.1500	 6.0684
36	 3140	  26	13.4	   4.9239	 6.1034
37	 3116	  53	14.4	   5.0674	 5.6185
38	    0	   0	 0.0	   0.0000	 0.0000
