order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  111	 198	18.9	   4.4626	 5.4750
 1	  136	 196	18.2	   4.7876	 4.2776
 2	  244	 217	25.4	   4.9041	 5.5167
 3	  284	 204	26.4	   5.2274	 4.9647
 4	  323	 210	25.6	   5.0721	 4.7763
 5	  383	 212	26.2	   4.9740	 5.1099
 6	  425	 197	29.0	   5.0318	 5.2689
 7	  455	 181	28.6	   4.7555	 5.3977
 8	  479	 176	25.6	   5.3271	 5.3354
 9	  512	 145	22.2	   5.0940	 4.5379
10	  630	 188	24.8	   4.9764	 5.4544
11	  740	 184	26.5	   4.9404	 4.8808
12	  812	 162	26.5	   4.9722	 6.0976
13	  833	 134	27.6	   4.9724	 5.4679
14	  902	 128	22.8	   5.1565	 5.1171
15	  910	 130	23.0	   4.9522	 5.2006
16	 1033	 124	20.4	   5.0135	 4.6799
17	 1005	 138	20.7	   5.1426	 5.0113
18	 1133	 106	27.5	   4.9184	 5.3728
19	 1283	 127	25.9	   4.9791	 5.2116
20	 1291	 126	24.8	   4.4354	 5.3969
21	 1512	 123	25.4	   4.8868	 6.5381
22	 1484	 120	28.3	   5.1872	 5.5927
23	 1520	 120	26.1	   5.1020	 6.0804
24	 1591	 101	30.3	   5.0297	 6.0515
25	 1684	  90	25.0	   4.7893	 5.9328
26	 1791	  83	25.9	   4.7345	 6.2158
27	 1931	  85	20.0	   4.8264	 5.6696
28	 1969	  60	18.0	   5.2783	 5.6945
29	 2052	  56	15.9	   4.9165	 5.7166
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2420	  37	23.1	   4.7822	 5.6175
32	 2417	  84	21.8	   4.9087	 5.2737
33	 2658	  51	21.3	   4.9307	 5.5375
34	 2493	  42	22.6	   4.7745	 6.2204
35	 2099	  13	28.4	   4.8298	 5.9012
36	 2640	  26	13.3	   4.4636	 5.9779
37	 2630	  53	14.3	   4.8335	 5.8274
38	    0	   0	 0.0	   0.0000	 0.0000
