order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   42	 198	 5.2	   4.4697	 5.5589
 1	   50	 196	 8.6	   4.8858	 3.4645
 2	   78	 217	18.7	   4.8498	 5.9899
 3	  100	 204	21.6	   5.1725	 5.1383
 4	  127	 210	24.6	   5.1126	 4.5735
 5	  170	 212	24.5	   5.0678	 5.3242
 6	  210	 197	28.9	   5.2400	 5.2575
 7	  254	 181	28.1	   4.6282	 5.4908
 8	  296	 176	25.2	   5.3700	 5.5297
 9	  350	 145	22.1	   5.2745	 4.7549
10	  467	 188	23.5	   4.5279	 5.6304
11	  589	 184	26.2	   4.9929	 4.9575
12	  696	 162	26.6	   5.0075	 6.0619
13	  759	 134	28.0	   4.9435	 5.5621
14	  871	 128	22.7	   5.2623	 5.2211
15	  927	 130	22.8	   4.9435	 5.3244
16	 1093	 124	20.4	   5.0617	 4.7175
17	 1107	 138	20.6	   5.2324	 5.1434
18	 1281	 106	27.7	   5.0064	 5.3841
19	 1503	 127	26.1	   5.0547	 5.2753
20	 1547	 126	25.1	   4.4341	 5.4406
21	 1840	 123	26.0	   4.9352	 6.5623
22	 1833	 120	28.7	   5.1698	 5.6918
23	 1906	 120	26.3	   5.0970	 6.2243
24	 2014	 101	30.7	   5.0123	 6.1381
25	 2146	  90	25.1	   4.7632	 6.0015
26	 2301	  83	26.2	   4.8199	 6.3267
27	 2474	  85	20.0	   4.9448	 5.8013
28	 2527	  60	18.2	   5.1031	 5.6671
29	 2647	  56	16.1	   4.8864	 5.8592
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3090	  37	23.1	   4.8043	 5.6240
32	 3051	  83	21.8	   4.9583	 5.3259
33	 3340	  51	21.5	   4.9230	 5.5286
34	 3089	  42	22.1	   4.7857	 6.4197
35	 2623	  13	28.4	   4.7732	 5.8881
36	 3200	  26	13.0	   4.7585	 6.0901
37	 3155	  53	14.2	   4.9993	 5.8495
38	    0	   0	 0.0	   0.0000	 0.0000
