order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  227	 198	21.7	   4.5427	 5.6204
 1	  283	 196	19.8	   4.8760	 4.6125
 2	  528	 217	27.1	   5.0254	 5.3660
 3	  618	 204	27.3	   5.2412	 5.0966
 4	  705	 210	26.5	   5.2867	 4.7567
 5	  834	 212	26.7	   5.0996	 5.0746
 6	  924	 197	29.9	   5.1223	 5.1646
 7	  993	 181	28.9	   4.8681	 5.3935
 8	 1041	 176	25.6	   5.4080	 5.2616
 9	 1105	 145	22.3	   5.3530	 4.6434
10	 1361	 188	24.9	   5.0871	 5.3406
11	 1613	 184	26.4	   5.0794	 4.9228
12	 1751	 162	26.6	   5.1280	 6.0898
13	 1797	 134	27.5	   5.1004	 5.4801
14	 1944	 128	22.6	   5.3548	 5.1844
15	 1967	 130	23.0	   5.0611	 5.3487
16	 2201	 124	20.8	   5.1625	 4.6896
17	 2133	 138	20.7	   5.2987	 5.0773
18	 2415	 106	27.9	   5.0381	 5.4287
19	 2725	 127	26.0	   5.1704	 5.2640
20	 2763	 126	25.2	   4.6447	 5.3730
21	 3205	 123	25.6	   5.0090	 6.6232
22	 3147	 120	28.7	   5.2865	 5.6204
23	 3217	 120	26.2	   5.2102	 6.1347
24	 3362	 101	30.7	   5.2091	 5.9776
25	 3563	  90	25.3	   4.9782	 5.9147
26	 3791	  83	26.1	   4.9274	 6.1985
27	 4078	  85	20.3	   4.9544	 5.7649
28	 4139	  60	18.5	   5.3054	 5.5726
29	 4350	  56	15.9	   5.0188	 5.7179
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5099	  37	23.5	   4.9411	 5.5773
32	 5072	  84	22.1	   5.0503	 5.2419
33	 5616	  51	21.5	   5.0567	 5.5510
34	 5191	  42	22.5	   4.9312	 6.2460
35	 4431	  13	27.9	   4.9517	 5.9014
36	 5454	  26	13.3	   4.6934	 5.8169
37	 5494	  53	14.4	   5.0915	 5.7190
38	    0	   0	 0.0	   0.0000	 0.0000
