order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  108	 198	19.2	   4.9628	 5.4052
 1	  131	 196	15.9	   4.9249	 4.9488
 2	  234	 217	25.6	   5.2683	 5.4960
 3	  271	 204	26.0	   5.3309	 5.1270
 4	  309	 210	25.6	   5.2331	 4.8312
 5	  369	 212	26.0	   5.0716	 5.0333
 6	  413	 197	28.4	   5.1475	 5.3217
 7	  440	 181	28.4	   4.7454	 5.4218
 8	  465	 176	25.4	   5.3660	 5.4429
 9	  498	 145	22.3	   5.3692	 4.6587
10	  614	 188	24.7	   5.0940	 5.3810
11	  725	 184	26.4	   5.1098	 4.8535
12	  789	 162	26.6	   5.1299	 6.0962
13	  819	 134	27.3	   5.1053	 5.5083
14	  885	 128	22.5	   5.2827	 5.1603
15	  900	 130	22.6	   5.0649	 5.2871
16	 1021	 124	20.4	   5.2155	 4.6773
17	  998	 138	20.0	   5.3407	 5.1389
18	 1127	 106	27.3	   5.0800	 5.3557
19	 1275	 127	25.6	   5.2075	 5.2647
20	 1293	 126	24.4	   4.5611	 5.3934
21	 1504	 123	25.4	   5.0373	 6.5539
22	 1479	 120	28.2	   5.3217	 5.7395
23	 1525	 120	25.7	   5.2178	 6.1669
24	 1595	 101	30.1	   5.1194	 6.0667
25	 1686	  90	24.8	   4.8643	 5.9283
26	 1797	  83	25.4	   4.8924	 6.2425
27	 1939	  85	19.9	   5.0081	 5.7446
28	 1977	  60	17.9	   5.4375	 5.7656
29	 2075	  56	15.6	   5.1015	 5.7654
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2459	  37	23.3	   4.8980	 5.5309
32	 2453	  84	21.8	   5.1295	 5.2665
33	 2732	  51	21.6	   5.0704	 5.5759
34	 2532	  42	22.2	   4.9871	 6.3183
35	 2178	  13	27.8	   4.8040	 5.9233
36	 2701	  26	12.7	   4.7736	 5.9507
37	 2714	  53	14.0	   5.0195	 5.7089
38	    0	   0	 0.0	   0.0000	 0.0000
