order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  121	 198	19.0	   4.7298	 5.6394
 1	  149	 196	18.6	   5.1630	 4.2458
 2	  261	 217	25.7	   5.1675	 5.3138
 3	  301	 204	26.2	   5.1960	 5.1945
 4	  343	 210	25.3	   5.3110	 4.8396
 5	  404	 212	26.0	   5.0816	 5.0368
 6	  448	 197	28.9	   5.1421	 5.3312
 7	  479	 181	28.3	   4.7801	 5.5966
 8	  506	 176	25.5	   5.4249	 5.3460
 9	  533	 145	22.2	   5.2673	 4.7290
10	  659	 188	24.8	   5.0367	 5.3499
11	  770	 184	26.6	   5.1428	 4.9107
12	  837	 162	26.8	   5.0600	 6.0772
13	  865	 134	27.1	   4.9853	 5.5386
14	  931	 128	22.7	   5.3056	 5.2121
15	  939	 130	22.4	   5.0451	 5.4609
16	 1066	 124	20.4	   5.1683	 4.6744
17	 1027	 138	20.2	   5.2866	 5.1369
18	 1161	 106	26.8	   5.1084	 5.5032
19	 1306	 127	25.6	   5.1577	 5.3129
20	 1319	 126	24.4	   4.6084	 5.4311
21	 1527	 123	25.1	   5.0431	 6.6900
22	 1506	 120	28.2	   5.2655	 5.6736
23	 1534	 120	26.1	   5.2514	 6.0643
24	 1605	 101	30.1	   5.1664	 6.0791
25	 1694	  90	24.5	   4.8781	 6.0600
26	 1792	  83	26.0	   4.9230	 6.2151
27	 1917	  85	19.9	   4.9782	 5.7915
28	 1956	  60	17.8	   5.2260	 5.6061
29	 2041	  56	15.7	   4.9443	 5.9449
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2389	  37	23.2	   4.9335	 5.5520
32	 2363	  84	21.8	   5.0995	 5.3272
33	 2615	  51	21.4	   5.1112	 5.5841
34	 2414	  42	21.8	   5.0534	 6.2597
35	 2084	  13	28.0	   4.7859	 6.0439
36	 2537	  26	12.9	   4.9398	 6.1361
37	 2541	  53	13.9	   5.1451	 5.7399
38	    0	   0	 0.0	   0.0000	 0.0000
