order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  115	 198	19.7	   3.9960	 5.1204
 1	  144	 196	16.9	   4.7382	 4.8642
 2	  254	 217	25.1	   4.7381	 5.4062
 3	  296	 204	26.4	   5.0569	 5.0826
 4	  337	 210	25.4	   4.8913	 4.7978
 5	  400	 212	25.7	   4.8442	 5.0369
 6	  440	 197	29.1	   4.8798	 5.2650
 7	  473	 181	28.1	   4.5896	 5.4950
 8	  496	 176	25.3	   5.1797	 5.3003
 9	  527	 145	21.7	   5.0616	 4.6999
10	  648	 188	24.2	   4.8587	 5.4787
11	  765	 184	26.5	   4.7928	 4.9311
12	  831	 162	26.4	   4.8179	 6.0089
13	  851	 134	27.8	   4.8220	 5.4797
14	  920	 128	22.3	   5.0464	 5.1699
15	  929	 130	22.8	   4.7883	 5.3888
16	 1050	 124	20.6	   4.9637	 4.6500
17	 1015	 138	20.4	   4.9950	 5.0132
18	 1150	 106	27.2	   4.8031	 5.4079
19	 1291	 127	25.4	   4.8706	 5.3345
20	 1306	 126	24.4	   4.3274	 5.4217
21	 1513	 123	25.0	   4.7629	 6.5156
22	 1486	 120	27.9	   5.0409	 5.6741
23	 1515	 120	25.8	   4.8975	 6.2242
24	 1579	 101	30.2	   4.8965	 6.0915
25	 1662	  90	25.0	   4.7377	 6.0219
26	 1768	  83	25.7	   4.6868	 6.2251
27	 1895	  85	19.9	   4.6776	 5.6876
28	 1921	  60	17.7	   5.0627	 5.6873
29	 2016	  56	15.4	   4.2808	 5.9756
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2383	  37	22.9	   4.6514	 5.5473
32	 2320	  84	21.7	   4.7825	 5.2420
33	 2565	  51	21.3	   4.8643	 5.5238
34	 2377	  42	21.9	   4.6794	 6.3147
35	 2206	  13	26.2	   4.6732	 6.2714
36	 2485	  26	12.8	   4.5868	 6.1200
37	 2490	  53	13.7	   4.7520	 5.7377
38	    0	   0	 0.0	   0.0000	 0.0000
