order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   75	 198	16.1	   3.9665	 6.0357
 1	   92	 196	16.3	   4.9652	 4.8482
 2	  174	 217	25.7	   5.0471	 5.5576
 3	  210	 204	26.4	   5.3251	 5.2491
 4	  251	 210	26.4	   5.2714	 4.8210
 5	  311	 212	26.5	   5.1245	 5.2616
 6	  358	 197	29.5	   5.0759	 5.2014
 7	  398	 181	28.9	   4.9089	 5.4243
 8	  433	 176	25.5	   5.3312	 5.4525
 9	  474	 145	22.5	   5.3804	 4.7531
10	  600	 188	24.1	   4.6253	 5.5908
11	  727	 184	26.4	   5.0587	 5.0016
12	  815	 162	26.5	   5.0881	 6.2209
13	  852	 134	28.2	   5.1081	 5.4687
14	  941	 128	23.0	   5.3330	 5.2303
15	  968	 130	22.5	   5.0435	 5.5903
16	 1108	 124	20.2	   5.1294	 4.8121
17	 1088	 138	20.4	   5.2719	 5.1202
18	 1248	 106	27.8	   5.0729	 5.4888
19	 1426	 127	25.9	   5.1696	 5.3523
20	 1454	 126	24.7	   4.5545	 5.5482
21	 1712	 123	25.4	   5.0007	 6.7988
22	 1687	 120	28.4	   5.3677	 5.7825
23	 1735	 120	25.9	   5.1689	 6.1655
24	 1827	 101	30.2	   5.1601	 6.1673
25	 1939	  90	24.8	   4.9650	 6.2723
26	 2072	  83	25.7	   4.8618	 6.2609
27	 2229	  85	20.3	   4.9666	 5.8209
28	 2263	  60	18.2	   5.2784	 5.7418
29	 2391	  56	15.8	   5.0045	 5.9298
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2807	  37	23.3	   5.0118	 5.6648
32	 2772	  83	22.0	   5.0200	 5.3074
33	 3078	  51	21.3	   5.0578	 5.6350
34	 2844	  42	22.5	   5.0128	 6.3488
35	 2475	  13	27.8	   4.9513	 6.0925
36	 2962	  26	13.0	   4.9424	 6.1370
37	 2985	  53	14.1	   5.0085	 5.8799
38	    0	   0	 0.0	   0.0000	 0.0000
