# Simulation for ICA
# Parameters
# Planet orbital period: 10.250449763542893
# Planet velocity amplitude: 1.0
# Planet phase: 4.03617325307933
# Activity covariance amplitude: 0.5
# Activity covariance period: 24.743841011564534
# Activity coherence time: 52.596220620964274
# Activity smoothing parameter: 0.736575270996628
# Record noise: 0.1
# Columns: [time, signal in channel 1, signal in channel 2, real signal 1, real signal 2]
time	x1	x2	s1	s2
54294.508430	0.358457	0.364980	0.396169	0.032617
54298.370400	-1.095816	-1.170124	-0.925242	-0.371539
54298.602220	-1.070914	-1.145705	-0.862190	-0.373954
54299.347900	-0.686712	-0.764904	-0.550113	-0.390956
54299.607500	-0.540227	-0.621049	-0.410838	-0.404108
54300.351760	-0.150515	-0.244374	0.032828	-0.469293
54300.613620	-0.022339	-0.122456	0.192143	-0.500583
54301.361300	0.474089	0.354409	0.606498	-0.598396
54301.571120	0.293047	0.168195	0.703465	-0.624260
54301.575400	0.546082	0.421129	0.705327	-0.624767
54301.579790	0.536869	0.411812	0.707232	-0.625285
54301.584290	0.325035	0.199872	0.709179	-0.625815
54301.588740	0.283629	0.158362	0.711100	-0.626338
54302.386350	0.675865	0.536702	0.958007	-0.695815
54302.595530	0.637496	0.496787	0.986809	-0.703547
54303.355930	0.714896	0.578037	0.954298	-0.684292
54303.415480	0.504406	0.368523	0.942756	-0.679414
54303.567650	0.592494	0.459564	0.907597	-0.664651
54303.614790	0.808265	0.676383	0.895089	-0.659406
54304.385290	0.326679	0.220750	0.594255	-0.529645
54305.540440	-0.112593	-0.153872	-0.071668	-0.206393
54306.367610	-0.511364	-0.497289	-0.546984	0.070379
54306.580250	-0.658585	-0.630375	-0.651150	0.141050
54306.607730	-0.494213	-0.464198	-0.663841	0.150077
54307.366870	-0.649147	-0.572474	-0.928840	0.383366
54307.494610	-0.764165	-0.680442	-0.954974	0.418614
54307.582590	-0.945929	-0.857513	-0.969578	0.442077
54308.369840	-0.706310	-0.582481	-0.972453	0.619145
54308.594690	-0.662183	-0.530546	-0.931207	0.658188
54309.400050	-0.360956	-0.209418	-0.647310	0.757689
54309.512090	-0.224512	-0.071083	-0.593478	0.767147
54310.430780	0.416936	0.580702	-0.072184	0.818830
54310.609110	0.640720	0.805837	0.037055	0.825581
54311.401220	0.865621	1.035640	0.499135	0.850094
54311.570210	0.919330	1.090147	0.586058	0.854085
54312.397580	1.308071	1.480260	0.905830	0.860946
54312.545800	1.299760	1.471587	0.940531	0.859135
54313.529840	1.383006	1.547286	0.967264	0.821400
54313.617340	1.232354	1.395610	0.952269	0.816282
54314.376090	0.956833	1.110004	0.714211	0.765858
54315.567210	0.356877	0.490224	0.065332	0.666735
54316.392180	-0.147321	-0.035802	-0.426211	0.557594
54316.567250	-0.379785	-0.274243	-0.520650	0.527710
54317.494100	-0.850937	-0.784260	-0.898237	0.333382
54317.628080	-0.772226	-0.711887	-0.931264	0.301695
54318.329440	-0.988289	-0.961702	-0.998377	0.132933
54318.569130	-0.937082	-0.921671	-0.979284	0.077056
54328.393540	-0.946787	-1.013070	-0.998362	-0.331417
54328.536540	-1.306765	-1.368672	-0.999538	-0.309536
54330.334530	-0.351343	-0.320866	-0.424383	0.152381
54331.360250	0.440207	0.536155	0.189303	0.479737
54331.553850	0.523236	0.630691	0.304223	0.537275
54332.481510	1.142603	1.296986	0.769302	0.771918
54333.354240	1.315272	1.498577	0.987529	0.916529
54334.394530	1.319517	1.518987	0.887194	0.997348
54335.398250	1.025789	1.230221	0.458210	1.022160
54336.465140	0.343894	0.550835	-0.177049	1.034706
