# Simulation for ICA
# Parameters
# Planet orbital period: 10.250449763542893
# Planet velocity amplitude: 1.0
# Planet phase: 4.03617325307933
# Activity covariance amplitude: 0.5
# Activity covariance period: 24.743841011564534
# Activity coherence time: 52.596220620964274
# Activity smoothing parameter: 0.736575270996628
# Record noise: 0.1
# Columns: [time, signal in channel 1, signal in channel 2, real signal 1, real signal 2]
time	x1	x2	s1	s2
54294.508430	0.343979	0.334431	0.396169	-0.047741
54298.370400	-0.919036	-1.038949	-0.925242	-0.599567
54298.602220	-1.120559	-1.244820	-0.862190	-0.621301
54299.347900	-0.839166	-0.968225	-0.550113	-0.645298
54299.607500	-0.708276	-0.834405	-0.410838	-0.630644
54300.351760	-0.294114	-0.395912	0.032828	-0.508990
54300.613620	-0.049692	-0.137489	0.192143	-0.438987
54301.361300	0.430602	0.394314	0.606498	-0.181442
54301.571120	0.637829	0.617870	0.703465	-0.099796
54301.575400	0.692881	0.673259	0.705327	-0.098112
54301.579790	0.668232	0.648955	0.707232	-0.096385
54301.584290	0.592977	0.574054	0.709179	-0.094613
54301.588740	0.762063	0.743491	0.711100	-0.092861
54302.386350	1.040008	1.082931	0.958007	0.214617
54302.595530	1.129866	1.187324	0.986809	0.287287
54303.355930	1.023876	1.122882	0.954298	0.495030
54303.415480	1.198306	1.299681	0.942756	0.506875
54303.567650	1.129215	1.236018	0.907597	0.534017
54303.614790	1.020671	1.128973	0.895089	0.541512
54304.385290	0.839107	0.960495	0.594255	0.606944
54305.540440	0.366341	0.482370	-0.071668	0.580141
54306.367610	-0.185951	-0.072745	-0.546984	0.566031
54306.580250	-0.327009	-0.213005	-0.651150	0.570017
54306.607730	-0.307267	-0.193111	-0.663841	0.570781
54307.366870	-0.709146	-0.586947	-0.928840	0.610992
54307.494610	-0.661145	-0.537062	-0.954974	0.620417
54307.582590	-0.681205	-0.555775	-0.969578	0.627146
54308.369840	-0.580501	-0.442857	-0.972453	0.688222
54308.594690	-0.595065	-0.454329	-0.931207	0.703680
54309.400050	-0.377410	-0.228257	-0.647310	0.745763
54309.512090	-0.368323	-0.218295	-0.593478	0.750143
54310.430780	0.142821	0.299192	-0.072184	0.781856
54310.609110	0.448419	0.606164	0.037055	0.788724
54311.401220	0.875207	1.040926	0.499135	0.828597
54311.570210	0.847108	1.014932	0.586058	0.839118
54312.397580	1.269954	1.448644	0.905830	0.893451
54312.545800	1.303838	1.484256	0.940531	0.902089
54313.529840	1.469717	1.654647	0.967264	0.924649
54313.617340	1.329190	1.513671	0.952269	0.922404
54314.376090	1.075498	1.248571	0.714211	0.865361
54315.567210	0.229087	0.360493	0.065332	0.657029
54316.392180	-0.216680	-0.120971	-0.426211	0.478544
54316.567250	-0.259179	-0.170943	-0.520650	0.441180
54317.494100	-0.768744	-0.718748	-0.898237	0.249981
54317.628080	-0.684194	-0.639640	-0.931264	0.222768
54318.329440	-0.987599	-0.971591	-0.998377	0.080038
54318.569130	-1.001631	-0.995280	-0.979284	0.031755
54328.393540	-0.800429	-0.720190	-0.998362	0.401196
54328.536540	-0.820233	-0.733907	-0.999538	0.431629
54330.334530	-0.255290	-0.137408	-0.424383	0.589412
54331.360250	0.323648	0.437663	0.189303	0.570074
54331.553850	0.552996	0.665882	0.304223	0.564426
54332.481510	1.008409	1.115701	0.769302	0.536460
54333.354240	1.070238	1.172179	0.987529	0.509705
54334.394530	1.020149	1.117506	0.887194	0.486787
54335.398250	0.463081	0.563352	0.458210	0.501358
54336.465140	0.121656	0.235018	-0.177049	0.566809
