\FILE_NAME,\STAR_ID,\DATA_CATEGORY,\NUMBER_OF_POINTS,\TIME_REFERENCE_FRAME,\MINIMUM_DATE,\DATE_UNITS,\MAXIMUM_DATE,\MINIMUM_VALUE,\VALUE_UNITS,\MAXIMUM_VALUE,\REFERENCE,\BIBCODE,\TELESCOPE,\INSTRUMENT,\WAVELENGTH_CALIBRATION_TECHNIQUE,\OBSERVATORY_SITE,\COLUMN_FCJD,\COLUMN_RADIAL_VELOCITY
APGS_VOD1_054_RV.tbl,UCAC-180-115899,Planet Radial Velocity Curve,20,FCJD,2455579.962882,days,2456086.639618,-14370.685,m/s,12563.052,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD49674_070_RV.tbl,2MASS J06511182+4029432,Planet Radial Velocity Curve,30,FCJD,2454779.836308,days,2455522.893287,-201.765,m/s,135.537,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1349_084_RV.tbl,2MASS J17504750+4044331,Planet Radial Velocity Curve,24,FCJD,2454956.868252,days,2455488.590394,-32221.842,m/s,15815.835,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD37605_072_RV.tbl,2MASS J05393601+0659494,Planet Radial Velocity Curve,26,FCJD,2454842.814583,days,2455557.880914,-251.589,m/s,175.068,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD80606_045_RV.tbl,2MASS J09234942+5038213,Planet Radial Velocity Curve,25,FCJD,2454817.001759,days,2455527.977963,-436.749,m/s,725.142,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
GJ436_063_RV.tbl,2MASS J11452961+2641137,Planet Radial Velocity Curve,28,FCJD,2454867.993356,days,2455291.771759,-231.196,m/s,221.662,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_N5466_054_RV.tbl,2MASS J14024791+2805529,Planet Radial Velocity Curve,35,FCJD,2455613.974352,days,2456048.807477,-934.439,m/s,473.159,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
GJ176_108_RV.tbl,2MASS J04473889+1831024,Planet Radial Velocity Curve,29,FCJD,2454778.841690,days,2455556.882812,-91.096,m/s,233.141,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APG_M53_016_RV.tbl,2MASS J13140314+1556534,Planet Radial Velocity Curve,36,FCJD,2455580.992350,days,2456022.799051,-62.349,m/s,86.119,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD89744_001_RV.tbl,2MASS J10291205+4035093,Planet Radial Velocity Curve,33,FCJD,2454811.970694,days,2455553.941806,-188.995,m/s,250.695,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_VOD2_094_RV.tbl,NMD1-0898-0219761,Planet Radial Velocity Curve,21,FCJD,2455579.917894,days,2456084.639502,-599.154,m/s,391.461,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_M3_033_RV.tbl,2MASS J13505105+2728070,Planet Radial Velocity Curve,42,FCJD,2455610.028079,days,2456078.634282,-1385.921,m/s,1306.319,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD4203_035_RV.tbl,2MASS J00425353+2148199,Planet Radial Velocity Curve,36,FCJD,2454778.750093,days,2455553.690671,-178.880,m/s,167.996,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD17092_101_RV.tbl,TYC 3304-00133-1,Planet Radial Velocity Curve,11,FCJD,2454805.791863,days,2455514.719919,-2869.040,m/s,3259.197,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HAT-P-3_055_RV.tbl,TYC 3467-00652-1,Planet Radial Velocity Curve,23,FCJD,2454901.948889,days,2455349.824271,-3365.753,m/s,2537.769,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD89744_101_RV.tbl,2MASS J10215884+4056309,Planet Radial Velocity Curve,33,FCJD,2454811.970694,days,2455553.941806,-721.556,m/s,327.977,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD219828_093_RV.tbl,TYC 1716-01182-1,Planet Radial Velocity Curve,32,FCJD,2454782.702616,days,2455553.639896,-126.861,m/s,225.092,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APG_M53_116_RV.tbl,2MASS J13114936+1818373,Planet Radial Velocity Curve,36,FCJD,2455580.992350,days,2456022.799051,-320.109,m/s,324.669,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
