order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  125	 198	19.7	   4.4351	 5.6905
 1	  157	 196	19.0	   5.0754	 4.5310
 2	  286	 217	26.5	   5.1743	 5.2771
 3	  334	 204	26.8	   5.2377	 5.1777
 4	  381	 210	26.1	   5.2024	 4.7217
 5	  451	 212	26.6	   5.0665	 5.0690
 6	  502	 197	29.7	   5.1716	 5.1705
 7	  538	 181	28.7	   4.8204	 5.3711
 8	  565	 176	25.2	   5.4491	 5.3279
 9	  601	 145	21.8	   5.2987	 4.7009
10	  737	 188	24.6	   5.0005	 5.3699
11	  868	 184	26.4	   5.1376	 4.9078
12	  945	 162	26.4	   5.1431	 6.1221
13	  969	 134	27.4	   5.1387	 5.6010
14	 1043	 128	23.0	   5.2952	 5.1755
15	 1057	 130	22.9	   5.0904	 5.3924
16	 1186	 124	20.7	   5.1602	 4.6129
17	 1155	 138	20.1	   5.3142	 5.1639
18	 1298	 106	27.9	   5.0372	 5.4069
19	 1457	 127	26.0	   5.2172	 5.3040
20	 1467	 126	25.1	   4.5747	 5.4411
21	 1700	 123	25.9	   5.0355	 6.6144
22	 1668	 120	28.6	   5.2592	 5.6781
23	 1699	 120	26.2	   5.1706	 6.0919
24	 1779	 101	30.5	   5.1989	 6.1155
25	 1874	  90	25.1	   4.9228	 5.9610
26	 2001	  83	26.1	   4.9430	 6.2838
27	 2130	  85	20.1	   5.0106	 5.7084
28	 2160	  60	18.2	   5.2119	 5.7226
29	 2264	  56	15.8	   5.0799	 5.9001
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2634	  37	23.0	   4.8724	 5.5834
32	 2619	  84	22.0	   4.9949	 5.2410
33	 2886	  51	21.9	   5.1113	 5.5426
34	 2653	  42	22.6	   5.0443	 6.3129
35	 2308	  13	27.4	   5.0036	 6.0053
36	 2777	  26	13.2	   5.0502	 5.8733
37	 2782	  53	13.8	   4.8600	 5.8206
38	    0	   0	 0.0	   0.0000	 0.0000
