order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   84	 198	17.0	   3.9009	 6.0512
 1	   98	 196	16.1	   5.1741	 4.7548
 2	  166	 217	22.8	   4.8455	 5.4271
 3	  193	 204	24.2	   5.2357	 5.2009
 4	  215	 210	24.2	   5.1255	 4.8895
 5	  254	 212	24.2	   5.0581	 5.1586
 6	  282	 197	27.9	   4.9879	 5.2492
 7	  302	 181	27.3	   4.6843	 5.6719
 8	  316	 176	24.5	   5.2674	 5.3793
 9	  335	 145	21.1	   5.3387	 4.7725
10	  410	 188	24.7	   4.9815	 5.4370
11	  482	 184	26.0	   4.9274	 5.0142
12	  527	 162	26.4	   5.0702	 6.1073
13	  544	 134	27.4	   4.9306	 5.5432
14	  589	 128	22.8	   5.4090	 5.1864
15	  595	 130	22.0	   4.8153	 5.4667
16	  679	 124	20.0	   5.0972	 4.8242
17	  660	 138	20.3	   5.1698	 5.0247
18	  745	 106	27.2	   4.9813	 5.4451
19	  838	 127	25.6	   5.1455	 5.2884
20	  850	 126	24.6	   4.4933	 5.3268
21	  989	 123	24.9	   5.0487	 6.7995
22	  969	 120	27.9	   5.1984	 5.6612
23	  989	 120	26.0	   5.1492	 6.0257
24	 1033	 101	29.9	   5.0987	 6.1677
25	 1093	  90	24.8	   4.8565	 5.8471
26	 1169	  83	25.3	   4.7583	 6.3408
27	 1256	  85	19.8	   4.9384	 5.9020
28	 1269	  60	16.9	   5.2402	 5.7748
29	 1339	  56	15.5	   5.0080	 5.9629
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1571	  37	23.1	   4.8410	 5.5324
32	 1550	  84	21.7	   4.9832	 5.2697
33	 1725	  51	21.6	   5.0142	 5.4807
34	 1603	  42	22.2	   4.8500	 6.3861
35	 1375	  13	27.7	   4.8232	 5.8556
36	 1702	  26	13.2	   4.6601	 6.2908
37	 1697	  53	14.4	   4.9809	 5.6884
38	    0	   0	 0.0	   0.0000	 0.0000
