order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  111	 198	18.6	   4.6195	 5.5920
 1	  137	 196	17.5	   4.9615	 4.8737
 2	  239	 217	25.0	   4.8442	 5.4183
 3	  281	 204	25.1	   5.1272	 5.0585
 4	  317	 210	25.5	   5.1115	 4.7711
 5	  373	 212	25.8	   4.8611	 4.9490
 6	  413	 197	28.8	   4.9774	 5.2820
 7	  448	 181	27.9	   4.7166	 5.5281
 8	  470	 176	25.3	   5.2168	 5.1229
 9	  495	 145	22.0	   5.2646	 4.5994
10	  617	 188	24.8	   4.9445	 5.4010
11	  727	 184	26.1	   4.8769	 4.9935
12	  788	 162	26.5	   4.8945	 6.1477
13	  817	 134	27.1	   4.8653	 5.6018
14	  882	 128	22.8	   5.1233	 5.1518
15	  894	 130	22.7	   4.8968	 5.4392
16	 1011	 124	20.7	   5.0184	 4.6337
17	  981	 138	20.2	   5.0794	 5.0983
18	 1109	 106	27.3	   4.8986	 5.4109
19	 1253	 127	25.3	   5.0679	 5.3104
20	 1273	 126	24.4	   4.4669	 5.4014
21	 1476	 123	25.3	   4.8534	 6.5048
22	 1449	 120	28.0	   5.1371	 5.6540
23	 1484	 120	25.8	   5.1240	 6.1374
24	 1558	 101	30.2	   4.9921	 6.1017
25	 1651	  90	24.9	   4.7729	 6.0070
26	 1758	  83	25.9	   4.8108	 6.2618
27	 1892	  85	19.9	   4.7648	 5.7401
28	 1919	  60	17.9	   5.1985	 5.6778
29	 2034	  56	15.5	   4.8791	 5.9243
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2393	  37	22.9	   4.7079	 5.6458
32	 2383	  84	21.7	   4.9020	 5.2750
33	 2644	  51	21.3	   4.9172	 5.5270
34	 2461	  42	22.6	   4.8647	 6.2700
35	 2147	  13	27.4	   4.8144	 5.9862
36	 2625	  26	13.2	   4.9203	 6.0915
37	 2633	  53	14.0	   4.9671	 5.6169
38	    0	   0	 0.0	   0.0000	 0.0000
