order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   66	 198	12.5	   4.6472	 5.6797
 1	   79	 196	13.9	   4.5311	 4.3980
 2	  139	 217	24.0	   4.8548	 5.3882
 3	  174	 204	24.1	   5.2411	 5.2614
 4	  210	 210	25.4	   5.3261	 4.7964
 5	  262	 212	26.6	   4.9477	 5.0512
 6	  309	 197	29.0	   5.1294	 5.2422
 7	  353	 181	28.5	   4.7027	 5.5846
 8	  389	 176	25.3	   5.3527	 5.4599
 9	  431	 145	22.4	   5.2893	 4.6138
10	  559	 188	24.1	   4.6451	 5.6259
11	  686	 184	26.7	   5.0287	 4.8712
12	  772	 162	26.9	   4.9683	 6.1296
13	  817	 134	27.8	   5.0202	 5.5448
14	  915	 128	23.0	   5.2564	 5.1639
15	  953	 130	23.0	   4.8820	 5.3795
16	 1101	 124	20.5	   5.0502	 4.7910
17	 1096	 138	20.5	   5.0781	 5.1460
18	 1254	 106	27.7	   4.9138	 5.4829
19	 1448	 127	26.0	   5.0716	 5.3872
20	 1488	 126	24.9	   4.4096	 5.4816
21	 1742	 123	25.8	   4.8678	 6.5859
22	 1730	 120	28.8	   5.1209	 5.6632
23	 1787	 120	26.3	   5.0717	 6.1517
24	 1889	 101	30.7	   5.0737	 6.0825
25	 2018	  90	24.8	   4.7511	 6.0571
26	 2150	  83	26.0	   4.7124	 6.2204
27	 2320	  85	20.2	   4.8980	 5.8651
28	 2354	  60	18.0	   5.1070	 5.7619
29	 2496	  56	15.9	   4.9354	 5.9737
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2915	  37	23.6	   4.7476	 5.5463
32	 2876	  83	22.2	   4.9132	 5.3074
33	 3175	  51	21.5	   4.9308	 5.5259
34	 2934	  42	22.8	   4.8614	 6.3018
35	 2492	  13	27.6	   4.6906	 6.0683
36	 3053	  26	13.4	   4.7147	 6.0386
37	 3063	  53	14.1	   4.7520	 5.9523
38	    0	   0	 0.0	   0.0000	 0.0000
