order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  118	 198	19.2	   4.8091	 5.5048
 1	  146	 196	17.6	   5.0529	 4.6582
 2	  259	 217	25.6	   5.2254	 5.4882
 3	  302	 204	25.8	   5.2805	 5.1873
 4	  346	 210	25.8	   5.1411	 4.7620
 5	  408	 212	26.1	   5.1114	 5.1131
 6	  453	 197	29.2	   5.1579	 5.2647
 7	  487	 181	28.4	   4.8310	 5.4535
 8	  513	 176	25.5	   5.4171	 5.2749
 9	  550	 145	22.1	   5.2929	 4.6845
10	  679	 188	24.6	   5.0138	 5.4357
11	  797	 184	26.6	   5.1418	 4.8415
12	  876	 162	26.2	   5.0967	 6.1797
13	  899	 134	27.4	   5.0171	 5.5803
14	  982	 128	22.6	   5.4287	 5.2741
15	  988	 130	22.5	   5.1053	 5.3865
16	 1125	 124	20.3	   5.0557	 4.6956
17	 1087	 138	20.1	   5.2190	 5.1150
18	 1236	 106	27.6	   5.1394	 5.3497
19	 1390	 127	25.6	   5.1833	 5.3303
20	 1413	 126	24.7	   4.5951	 5.4131
21	 1646	 123	25.7	   5.0124	 6.6519
22	 1622	 120	28.2	   5.3196	 5.7002
23	 1666	 120	25.8	   5.2176	 6.1909
24	 1747	 101	30.1	   5.1343	 6.1263
25	 1857	  90	24.9	   4.9503	 5.9855
26	 1982	  83	25.9	   4.9619	 6.2054
27	 2128	  85	20.1	   4.9857	 5.8112
28	 2167	  60	18.1	   5.4147	 5.7525
29	 2289	  56	16.0	   5.1323	 5.8731
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2708	  37	23.7	   4.9416	 5.5495
32	 2688	  84	21.8	   5.1217	 5.3277
33	 3004	  51	21.4	   5.0598	 5.4886
34	 2817	  42	22.5	   5.0019	 6.3498
35	 2431	  13	27.5	   4.9343	 6.1956
36	 2968	  26	13.2	   4.9366	 5.8696
37	 3002	  53	14.0	   5.1203	 5.7277
38	    0	   0	 0.0	   0.0000	 0.0000
