order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   35	 198	12.8	  21.6899	 0.8263
 1	   35	 196	10.9	 -11.8934	 0.6658
 2	   39	 217	 5.2	   4.1820	 5.6195
 3	   42	 204	 8.3	   4.2729	 5.1941
 4	   44	 210	 9.0	   5.1071	 4.7635
 5	   50	 212	10.1	   4.6558	 5.4504
 6	   57	 197	15.2	   5.7717	 5.8165
 7	   64	 181	15.7	   4.8320	 5.4598
 8	   70	 176	15.1	   6.2412	 5.6743
 9	   81	 145	13.1	   6.0672	 4.5061
10	  102	 188	18.2	   4.8390	 5.3852
11	  126	 184	21.7	   4.8608	 4.7330
12	  150	 162	23.7	   4.7841	 6.0654
13	  171	 134	23.1	   4.8252	 5.5737
14	  195	 128	20.9	   5.1782	 4.8927
15	  218	 130	19.8	   4.8367	 5.3315
16	  276	 124	17.4	   5.3529	 4.7352
17	  288	 138	17.8	   5.1899	 5.1990
18	  341	 106	24.3	   4.8299	 5.4650
19	  405	 127	23.7	   4.9552	 5.3747
20	  433	 126	23.2	   4.4138	 5.5049
21	  529	 123	24.1	   4.9799	 6.8276
22	  548	 120	27.1	   5.1044	 5.7631
23	  581	 120	24.8	   5.1460	 6.1558
24	  637	 101	29.1	   5.0571	 6.1098
25	  698	  90	23.9	   4.6996	 5.9496
26	  770	  83	25.4	   4.8254	 6.1878
27	  848	  85	19.3	   4.8115	 5.8768
28	  886	  60	17.4	   5.2692	 5.7970
29	  969	  56	15.6	   4.7973	 5.9709
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1182	  37	23.0	   4.8015	 5.4695
32	 1192	  84	21.2	   5.0087	 5.2601
33	 1339	  51	21.0	   5.0189	 5.4714
34	 1274	  42	21.6	   4.6662	 6.1816
35	 1142	  13	27.9	   4.8472	 5.9030
36	 1386	  26	13.1	   4.6571	 6.1230
37	 1410	  53	13.8	   4.9524	 5.8482
38	    0	   0	 0.0	   0.0000	 0.0000
