order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  101	 198	19.5	   4.4734	 5.8346
 1	  127	 196	20.1	   4.7430	 4.5589
 2	  239	 217	26.8	   4.8386	 5.4091
 3	  281	 204	26.5	   5.0519	 5.2506
 4	  325	 210	26.4	   5.0512	 4.8290
 5	  387	 212	26.7	   4.7380	 5.1364
 6	  434	 197	29.7	   4.9176	 5.3224
 7	  468	 181	28.9	   4.5151	 5.4624
 8	  496	 176	25.6	   5.1249	 5.3455
 9	  534	 145	22.1	   5.0823	 4.7336
10	  660	 188	24.3	   4.2820	 5.5283
11	  776	 184	26.5	   4.8636	 4.9890
12	  853	 162	27.0	   4.7522	 6.1786
13	  880	 134	27.7	   4.7913	 5.4877
14	  958	 128	22.4	   5.0391	 5.2304
15	  975	 130	22.7	   4.7667	 5.4557
16	 1102	 124	20.4	   4.8203	 4.7849
17	 1070	 138	20.3	   4.9616	 5.1296
18	 1213	 106	27.7	   4.8338	 5.4818
19	 1370	 127	25.8	   4.9686	 5.3397
20	 1396	 126	24.9	   4.3310	 5.4844
21	 1627	 123	25.6	   4.7381	 6.6877
22	 1598	 120	28.6	   5.0480	 5.7233
23	 1641	 120	26.1	   4.9993	 6.1661
24	 1724	 101	30.4	   4.9562	 6.0418
25	 1824	  90	25.1	   4.6561	 5.9117
26	 1954	  83	26.1	   4.6185	 6.3048
27	 2101	  85	20.2	   4.7694	 5.8686
28	 2136	  60	18.0	   4.9501	 5.7853
29	 2248	  56	16.0	   4.8164	 5.8279
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2672	  37	23.1	   4.6618	 5.6358
32	 2634	  84	22.2	   4.7647	 5.2978
33	 2921	  51	21.5	   4.7887	 5.6326
34	 2724	  42	22.6	   4.6554	 6.3592
35	 2349	  13	27.2	   4.5668	 6.2470
36	 2899	  26	13.0	   4.8113	 6.2486
37	 2892	  53	14.2	   4.8339	 5.7745
38	    0	   0	 0.0	   0.0000	 0.0000
