order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  100	 198	16.6	   4.7523	 6.1338
 1	  120	 196	15.6	   5.0579	 4.5602
 2	  204	 217	23.5	   4.9844	 5.5095
 3	  234	 204	24.6	   5.1880	 5.0421
 4	  265	 210	23.7	   5.2010	 4.7362
 5	  309	 212	25.0	   5.0625	 5.0164
 6	  343	 197	28.0	   4.9569	 5.2410
 7	  369	 181	26.8	   4.9326	 5.5923
 8	  384	 176	24.5	   5.3557	 5.3190
 9	  411	 145	21.3	   5.4363	 4.4887
10	  501	 188	24.4	   5.0224	 5.3865
11	  592	 184	25.6	   5.0636	 4.9190
12	  644	 162	26.3	   5.0593	 6.1551
13	  664	 134	27.2	   5.0590	 5.5223
14	  721	 128	22.3	   5.4209	 5.1294
15	  729	 130	22.2	   4.9552	 5.3220
16	  831	 124	20.1	   5.1065	 4.6832
17	  807	 138	20.0	   5.3174	 5.1222
18	  917	 106	26.8	   5.0599	 5.3784
19	 1033	 127	25.2	   5.1468	 5.2231
20	 1041	 126	24.8	   4.6001	 5.2978
21	 1210	 123	24.8	   5.0937	 6.5326
22	 1194	 120	28.0	   5.3382	 5.6113
23	 1222	 120	25.5	   5.2430	 6.1535
24	 1274	 101	30.0	   5.1922	 6.0266
25	 1353	  90	24.9	   4.8706	 5.9377
26	 1443	  83	25.8	   4.9342	 6.2242
27	 1554	  85	19.9	   4.9875	 5.7498
28	 1580	  60	17.3	   5.3273	 5.5047
29	 1674	  56	15.3	   5.0429	 5.8032
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1974	  37	22.5	   4.8030	 5.6689
32	 1951	  84	21.0	   5.0774	 5.4499
33	 2169	  51	21.3	   5.0270	 5.5344
34	 2021	  42	21.8	   5.0923	 6.2700
35	 1724	  13	27.5	   5.0718	 5.9986
36	 2126	  26	13.0	   4.7633	 6.0990
37	 2141	  53	13.7	   4.9961	 5.6149
38	    0	   0	 0.0	   0.0000	 0.0000
