order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  119	 198	17.6	   4.6124	 5.9133
 1	  142	 196	16.1	   4.7693	 4.9100
 2	  244	 217	23.4	   4.8035	 5.2703
 3	  280	 204	24.5	   5.0074	 5.2176
 4	  316	 210	23.9	   4.8740	 4.7881
 5	  371	 212	24.6	   4.9288	 5.0251
 6	  410	 197	27.2	   4.8182	 5.3301
 7	  437	 181	27.9	   4.5893	 5.3777
 8	  460	 176	25.0	   5.0770	 5.3185
 9	  485	 145	21.1	   4.9983	 4.6910
10	  594	 188	23.9	   4.8179	 5.4589
11	  700	 184	25.5	   4.7704	 4.9180
12	  758	 162	26.1	   4.7830	 6.0607
13	  781	 134	26.9	   4.8355	 5.5693
14	  842	 128	22.5	   5.1409	 5.2176
15	  853	 130	22.1	   4.8118	 5.3084
16	  961	 124	19.6	   4.8896	 4.7795
17	  930	 138	20.1	   5.0928	 5.0923
18	 1048	 106	26.8	   4.7942	 5.4056
19	 1182	 127	25.2	   4.9358	 5.3619
20	 1199	 126	23.9	   4.2508	 5.4724
21	 1385	 123	24.8	   4.7127	 6.6899
22	 1361	 120	27.5	   5.0008	 5.6886
23	 1385	 120	25.6	   4.9762	 6.1811
24	 1448	 101	29.8	   4.8572	 6.1409
25	 1537	  90	24.6	   4.6651	 5.9211
26	 1628	  83	25.6	   4.7025	 6.1980
27	 1739	  85	19.7	   4.7408	 5.7183
28	 1793	  60	17.3	   5.1256	 5.9840
29	 1861	  56	15.4	   4.6779	 5.7611
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2202	  37	23.2	   4.8237	 5.3506
32	 2167	  84	21.6	   4.8267	 5.2689
33	 2416	  51	21.4	   4.8133	 5.3901
34	 2234	  42	21.9	   4.7312	 6.2918
35	 1976	  13	26.9	   4.7642	 5.9413
36	 2379	  26	13.1	   4.5696	 6.0969
37	 2383	  53	14.0	   4.9153	 5.5974
38	    0	   0	 0.0	   0.0000	 0.0000
