order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  148	 198	20.9	   4.6544	 5.5448
 1	  185	 196	18.4	   4.8905	 4.6734
 2	  339	 217	26.8	   4.8047	 5.2995
 3	  395	 204	26.5	   5.0726	 5.1384
 4	  448	 210	26.1	   5.0694	 4.7906
 5	  532	 212	26.3	   4.9009	 5.0739
 6	  591	 197	29.3	   4.8325	 5.2934
 7	  633	 181	28.8	   4.6111	 5.4658
 8	  669	 176	25.5	   5.1527	 5.3794
 9	  704	 145	22.4	   5.0582	 4.6836
10	  868	 188	24.5	   4.8574	 5.4694
11	 1025	 184	26.3	   4.8975	 4.9651
12	 1109	 162	26.4	   4.8679	 6.0906
13	 1140	 134	27.4	   4.8759	 5.5950
14	 1229	 128	22.5	   5.0815	 5.1526
15	 1239	 130	22.9	   4.9179	 5.3388
16	 1400	 124	20.4	   4.9262	 4.6760
17	 1358	 138	20.4	   5.0615	 5.1747
18	 1531	 106	27.7	   4.8559	 5.3946
19	 1721	 127	25.8	   4.9458	 5.3363
20	 1741	 126	24.9	   4.3635	 5.3400
21	 2027	 123	25.5	   4.7890	 6.5880
22	 1995	 120	28.3	   5.0926	 5.6789
23	 2021	 120	26.2	   5.0512	 6.1200
24	 2111	 101	30.2	   4.9166	 6.0936
25	 2236	  90	24.9	   4.6928	 6.0178
26	 2369	  83	26.1	   4.6752	 6.2059
27	 2543	  85	20.1	   4.7097	 5.7429
28	 2573	  60	17.9	   5.2180	 5.6742
29	 2700	  56	16.0	   4.6787	 5.7736
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3146	  37	23.0	   4.6945	 5.5325
32	 3112	  84	21.7	   4.8424	 5.2903
33	 3448	  51	21.3	   4.7656	 5.4641
34	 3189	  42	22.6	   4.6293	 6.3396
35	 2700	  13	27.8	   4.5129	 5.9847
36	 3361	  26	13.1	   4.7661	 6.2180
37	 3330	  53	13.9	   4.7543	 5.6348
38	    0	   0	 0.0	   0.0000	 0.0000
