order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  175	 200	18.7	  15.6174	 6.3086
 1	  212	 199	14.9	  15.5208	 5.5805
 2	  376	 218	21.5	  16.0108	 6.1683
 3	  439	 206	21.6	  16.1720	 6.0107
 4	  469	 210	19.7	  16.2680	 5.4727
 5	  579	 214	21.3	  15.8398	 5.7579
 6	  651	 197	23.9	  16.0425	 5.6206
 7	  711	 181	23.8	  15.5944	 5.8743
 8	  729	 178	20.8	  16.1104	 6.0502
 9	  725	 147	17.5	  16.1652	 5.5657
10	  921	 189	20.5	  15.9852	 6.0852
11	 1051	 186	20.7	  15.8169	 5.5685
12	 1120	 163	22.1	  15.8000	 7.0054
13	 1144	 136	22.2	  15.8585	 6.2097
14	 1229	 130	17.5	  16.1858	 5.9745
15	 1248	 131	17.5	  16.0554	 6.1114
16	 1370	 126	15.8	  16.0050	 5.6719
17	 1316	 138	15.8	  16.1750	 5.7104
18	 1538	 106	22.1	  15.9233	 6.0923
19	 1710	 128	20.4	  16.0429	 5.9272
20	 1720	 128	19.5	  15.3722	 6.0385
21	 2004	 124	21.6	  15.7674	 7.6734
22	 1987	 121	23.3	  16.1603	 6.1892
23	 2003	 120	21.5	  16.0918	 6.5829
24	 2076	 102	24.8	  16.0310	 6.4801
25	 2180	  90	20.0	  15.6495	 6.5844
26	 2294	  84	20.5	  15.8264	 6.6762
27	 2469	  85	15.9	  15.7396	 6.4423
28	 2486	  60	13.6	  16.3845	 6.2763
29	 2602	  56	11.9	  15.7708	 6.9313
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3020	  37	17.6	  15.7957	 6.0544
32	 2986	  85	16.8	  15.9029	 5.7435
33	 3322	  51	16.1	  15.8788	 6.3376
34	 3063	  42	17.6	  15.8860	 6.9117
35	 2655	  13	23.1	  15.6813	 6.4169
36	 3194	  26	 9.9	  15.8964	 6.5633
37	 3213	  53	10.8	  16.0737	 6.3189
38	    0	   0	 0.0	   0.0000	 0.0000
