order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  127	 200	16.7	  15.2449	 6.2788
 1	  154	 199	15.0	  15.5997	 5.4699
 2	  266	 218	20.9	  16.0306	 6.0248
 3	  311	 206	21.7	  16.0700	 6.0773
 4	  335	 210	19.8	  16.1866	 5.4470
 5	  411	 214	21.1	  15.9348	 5.8006
 6	  466	 197	23.8	  16.0037	 5.6633
 7	  511	 181	23.5	  15.4866	 5.9676
 8	  525	 178	21.1	  16.0605	 6.0403
 9	  524	 147	17.4	  16.2491	 5.7580
10	  672	 189	20.6	  15.8127	 6.1265
11	  771	 186	20.7	  15.7614	 5.5827
12	  827	 163	21.9	  15.5517	 7.1912
13	  844	 136	22.2	  15.8044	 6.1531
14	  916	 130	17.6	  15.9993	 5.8436
15	  932	 131	17.7	  15.9331	 6.0686
16	 1030	 126	15.5	  15.8408	 5.6362
17	  996	 138	15.3	  16.1675	 5.9268
18	 1166	 106	22.2	  15.7759	 5.9703
19	 1299	 128	20.0	  15.9155	 5.9576
20	 1311	 128	19.4	  15.2780	 5.9539
21	 1539	 124	21.8	  15.6036	 7.5146
22	 1531	 121	23.0	  16.0734	 6.2921
23	 1546	 120	21.6	  15.9840	 6.5539
24	 1607	 102	24.5	  16.0436	 6.4348
25	 1694	  90	19.9	  15.6036	 6.4048
26	 1797	  84	20.2	  15.6891	 6.6574
27	 1929	  85	15.7	  15.5256	 6.3794
28	 1954	  60	13.5	  16.1277	 6.4178
29	 2049	  56	11.7	  15.9397	 6.8790
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2403	  37	17.4	  15.8186	 6.0930
32	 2371	  85	16.6	  15.8647	 5.7834
33	 2652	  51	16.5	  15.7896	 6.2216
34	 2457	  42	17.6	  15.6734	 6.9943
35	 2107	  13	22.2	  15.2681	 6.6293
36	 2588	  26	10.0	  15.8898	 7.2191
37	 2593	  53	10.7	  15.7911	 6.2699
38	    0	   0	 0.0	   0.0000	 0.0000
