order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  136	 200	17.2	  15.2578	 6.2622
 1	  163	 199	14.9	  15.6240	 5.2601
 2	  284	 218	20.9	  15.8933	 6.0352
 3	  335	 206	22.0	  16.1188	 5.7364
 4	  356	 210	19.2	  16.1865	 5.4658
 5	  437	 214	21.3	  15.8499	 5.7312
 6	  494	 197	23.8	  15.9926	 5.6866
 7	  536	 181	23.2	  15.4571	 5.9088
 8	  555	 178	20.8	  16.1639	 6.2141
 9	  550	 147	17.6	  16.1142	 5.4964
10	  700	 189	20.6	  15.9648	 6.1524
11	  804	 186	20.7	  15.8920	 5.6128
12	  858	 163	22.1	  15.6646	 7.0852
13	  877	 136	22.6	  15.8826	 6.0639
14	  942	 130	17.6	  16.1301	 5.8567
15	  957	 131	17.5	  15.8686	 6.0254
16	 1054	 126	15.5	  15.9465	 5.6006
17	 1019	 138	15.7	  16.3071	 5.7553
18	 1186	 106	22.0	  16.0296	 5.9804
19	 1315	 128	20.1	  16.0132	 5.9284
20	 1328	 128	19.1	  15.2896	 5.9943
21	 1543	 124	21.3	  15.7727	 7.6039
22	 1529	 121	23.2	  16.2318	 6.2480
23	 1547	 120	21.6	  16.0571	 6.5542
24	 1601	 102	24.6	  16.0348	 6.4355
25	 1676	  90	19.8	  15.7912	 6.5867
26	 1773	  84	20.4	  15.7947	 6.6868
27	 1912	  85	15.9	  15.8330	 6.3800
28	 1914	  60	13.7	  16.2563	 6.3167
29	 2007	  56	11.5	  15.7860	 7.0301
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2337	  37	17.4	  15.7476	 5.9775
32	 2307	  85	16.9	  15.9307	 5.7616
33	 2572	  51	16.4	  15.7451	 6.4028
34	 2369	  42	17.8	  15.7760	 6.8036
35	 2053	  13	22.5	  15.4986	 6.4797
36	 2494	  26	 9.9	  15.9090	 6.9935
37	 2491	  53	10.6	  15.9581	 6.1116
38	    0	   0	 0.0	   0.0000	 0.0000
