order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  139	 200	16.7	  15.1942	 6.6007
 1	  171	 199	15.0	  15.5815	 5.4215
 2	  297	 218	21.0	  15.8214	 6.0589
 3	  348	 206	20.9	  16.1013	 6.1359
 4	  372	 210	19.7	  16.2956	 5.4869
 5	  459	 214	21.3	  15.9104	 5.7026
 6	  516	 197	23.9	  15.9811	 5.7322
 7	  563	 181	23.6	  15.4902	 5.9490
 8	  581	 178	20.6	  16.2289	 6.2473
 9	  580	 147	17.2	  16.2643	 5.6028
10	  736	 189	20.8	  15.8674	 6.0327
11	  843	 186	20.9	  15.8662	 5.6365
12	  900	 163	22.0	  15.6838	 7.0037
13	  919	 136	21.9	  15.9341	 6.1592
14	  985	 130	17.4	  15.9943	 5.8121
15	 1006	 131	17.6	  15.8843	 6.0909
16	 1109	 126	15.3	  15.9359	 5.5936
17	 1069	 138	15.7	  16.0613	 5.7214
18	 1245	 106	22.2	  15.9250	 5.9931
19	 1377	 128	20.1	  16.0046	 5.8568
20	 1395	 128	19.2	  15.4070	 6.0482
21	 1625	 124	21.6	  15.7640	 7.5734
22	 1608	 121	23.2	  16.1728	 6.2809
23	 1623	 120	21.7	  16.0475	 6.6089
24	 1684	 102	24.6	  16.0866	 6.5276
25	 1764	  90	20.0	  15.6577	 6.6079
26	 1866	  84	20.6	  15.7897	 6.6188
27	 2006	  85	16.1	  15.6788	 6.3399
28	 2014	  60	13.6	  16.3089	 6.4043
29	 2111	  56	12.0	  15.8321	 6.9334
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2452	  37	17.3	  15.7615	 6.1955
32	 2437	  85	16.9	  15.9084	 5.8322
33	 2701	  51	16.5	  15.8328	 6.2582
34	 2494	  42	17.7	  15.6955	 6.7543
35	 2192	  13	22.1	  15.5818	 6.6942
36	 2618	  26	10.2	  15.7548	 6.5773
37	 2631	  53	10.3	  16.2291	 6.5068
38	    0	   0	 0.0	   0.0000	 0.0000
