order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  138	 200	18.0	  15.5131	 6.0728
 1	  168	 199	14.8	  15.8665	 5.5336
 2	  292	 218	20.8	  15.8381	 6.2352
 3	  340	 206	21.4	  16.1421	 6.1543
 4	  366	 210	19.9	  16.2184	 5.4629
 5	  449	 214	21.0	  15.8508	 5.6799
 6	  503	 197	24.1	  16.0040	 5.7319
 7	  548	 181	23.5	  15.4898	 5.8024
 8	  566	 178	21.1	  16.1537	 6.0402
 9	  564	 147	17.8	  16.2002	 5.6182
10	  719	 189	20.4	  15.9299	 6.1527
11	  818	 186	21.2	  15.9163	 5.5088
12	  873	 163	22.2	  15.7392	 6.9740
13	  888	 136	22.4	  15.9671	 6.1916
14	  961	 130	17.6	  16.1834	 5.8718
15	  972	 131	17.5	  16.0075	 6.2240
16	 1075	 126	15.7	  16.0377	 5.4898
17	 1029	 138	15.8	  16.3534	 5.6976
18	 1203	 106	22.1	  15.9853	 6.0979
19	 1334	 128	20.2	  15.9846	 5.8799
20	 1347	 128	19.3	  15.3765	 5.9910
21	 1572	 124	21.7	  15.7390	 7.4884
22	 1559	 121	23.2	  16.1969	 6.1845
23	 1573	 120	21.7	  16.0821	 6.6322
24	 1630	 102	24.5	  16.0399	 6.5397
25	 1712	  90	20.0	  15.7155	 6.4937
26	 1807	  84	20.7	  15.7169	 6.6692
27	 1947	  85	16.0	  15.7426	 6.6017
28	 1963	  60	13.8	  16.2522	 6.4220
29	 2050	  56	12.0	  15.8897	 6.8884
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2367	  37	16.8	  15.6476	 6.1205
32	 2346	  85	16.8	  15.8866	 5.8680
33	 2605	  51	16.6	  15.9170	 6.2866
34	 2399	  42	17.5	  15.7751	 6.7944
35	 2045	  13	23.4	  15.7281	 6.4192
36	 2512	  26	 9.9	  15.6677	 6.6140
37	 2494	  53	10.5	  16.0133	 6.4088
38	    0	   0	 0.0	   0.0000	 0.0000
