order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  148	 200	17.2	  15.2105	 6.1418
 1	  178	 199	14.9	  15.7949	 5.9415
 2	  313	 218	21.5	  15.9289	 6.1913
 3	  363	 206	21.8	  16.0418	 5.8681
 4	  388	 210	19.9	  16.2131	 5.3761
 5	  476	 214	21.5	  15.7476	 5.5944
 6	  531	 197	23.9	  15.9005	 5.6619
 7	  577	 181	23.8	  15.5282	 5.8881
 8	  597	 178	20.9	  16.1422	 6.0900
 9	  589	 147	17.7	  15.9761	 5.4666
10	  747	 189	20.6	  15.8556	 6.1111
11	  854	 186	20.8	  15.9454	 5.6935
12	  907	 163	22.3	  15.7626	 7.0063
13	  914	 136	22.2	  15.8183	 6.1719
14	  989	 130	17.9	  16.0646	 5.9127
15	 1001	 131	17.4	  15.9086	 6.0248
16	 1101	 126	15.7	  15.8394	 5.5913
17	 1054	 138	15.7	  16.2955	 5.7857
18	 1219	 106	22.2	  15.8781	 5.9806
19	 1349	 128	20.1	  15.9855	 5.9230
20	 1360	 128	19.3	  15.2928	 6.1182
21	 1580	 124	21.5	  15.6924	 7.5378
22	 1563	 121	22.9	  16.1330	 6.2887
23	 1572	 120	21.6	  16.0412	 6.6276
24	 1624	 102	24.6	  15.9854	 6.4379
25	 1698	  90	20.0	  15.6803	 6.6487
26	 1791	  84	20.6	  15.7615	 6.6830
27	 1919	  85	16.0	  15.7217	 6.4245
28	 1928	  60	13.5	  16.2022	 6.2694
29	 2001	  56	11.8	  15.7929	 6.9063
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2307	  37	17.4	  15.6429	 6.2109
32	 2282	  85	17.1	  15.8983	 5.7519
33	 2531	  51	16.6	  15.7945	 6.2302
34	 2325	  42	17.6	  15.6327	 6.8444
35	 2000	  13	22.7	  15.7327	 6.4502
36	 2401	  26	10.0	  15.6662	 6.5888
37	 2397	  53	10.2	  15.7166	 6.5048
38	    0	   0	 0.0	   0.0000	 0.0000
