order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  446	 200	20.2	  15.3730	 6.3105
 1	  551	 199	16.6	  15.5807	 5.2366
 2	  993	 218	21.7	  15.7704	 6.1287
 3	 1165	 206	22.3	  16.1354	 5.9436
 4	 1252	 210	19.7	  16.1259	 5.5676
 5	 1541	 214	21.5	  15.7799	 5.7721
 6	 1735	 197	24.0	  15.8708	 5.7202
 7	 1889	 181	24.1	  15.4679	 5.8817
 8	 1944	 178	21.2	  16.0423	 6.0820
 9	 1940	 147	17.4	  16.1155	 5.5699
10	 2450	 189	20.6	  15.8165	 6.1141
11	 2810	 186	21.0	  15.7774	 5.6069
12	 2999	 163	22.2	  15.6330	 7.0517
13	 3051	 136	22.5	  15.7811	 6.2222
14	 3282	 130	17.7	  16.0334	 5.9255
15	 3324	 131	17.8	  15.8589	 6.1257
16	 3625	 126	16.0	  15.8871	 5.6121
17	 3483	 138	15.9	  16.1603	 5.7847
18	 4071	 106	22.8	  15.8650	 6.0146
19	 4536	 128	20.7	  15.9398	 5.9803
20	 4566	 128	19.7	  15.2501	 6.0518
21	 5328	 124	22.0	  15.6119	 7.5500
22	 5267	 121	23.7	  16.0564	 6.1727
23	 5318	 120	22.0	  15.9830	 6.6595
24	 5496	 102	25.0	  15.9363	 6.4620
25	 5771	  90	20.3	  15.6041	 6.5874
26	 6101	  84	20.9	  15.7008	 6.7530
27	 6555	  85	16.2	  15.6773	 6.3848
28	 6589	  60	13.9	  16.2202	 6.3412
29	 6892	  56	12.1	  15.7201	 6.8248
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7986	  37	17.9	  15.6152	 6.1646
32	 7881	  85	17.2	  15.8727	 5.8316
33	 8770	  51	17.0	  15.7365	 6.2156
34	 8083	  42	18.3	  15.6828	 6.8589
35	 6903	  13	23.8	  15.6143	 6.5034
36	 8465	  26	10.0	  15.6863	 7.0831
37	 8427	  53	10.8	  15.8368	 6.4120
38	    0	   0	 0.0	   0.0000	 0.0000
