order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  174	 200	19.1	  15.5091	 5.9296
 1	  213	 199	15.5	  15.7207	 5.4518
 2	  375	 218	21.1	  15.9088	 6.2294
 3	  442	 206	21.6	  16.2235	 6.0029
 4	  471	 210	19.8	  16.2290	 5.4627
 5	  580	 214	21.2	  15.8450	 5.7591
 6	  648	 197	24.1	  15.9749	 5.6729
 7	  708	 181	23.7	  15.4645	 5.9209
 8	  728	 178	20.9	  16.1598	 6.2792
 9	  718	 147	17.6	  16.2730	 5.5438
10	  913	 189	20.3	  15.9906	 6.1919
11	 1046	 186	20.8	  15.9325	 5.5492
12	 1116	 163	21.9	  15.7863	 7.1076
13	 1130	 136	22.5	  15.8798	 6.1674
14	 1220	 130	17.7	  16.0551	 5.8144
15	 1239	 131	17.4	  15.8984	 6.0488
16	 1355	 126	15.8	  16.0276	 5.5854
17	 1302	 138	15.6	  16.2612	 5.8130
18	 1518	 106	22.4	  15.9231	 5.9436
19	 1688	 128	20.1	  16.0536	 5.8718
20	 1699	 128	19.4	  15.3628	 6.1729
21	 1981	 124	21.5	  15.7892	 7.6077
22	 1957	 121	23.2	  16.2059	 6.2642
23	 1976	 120	21.8	  16.1256	 6.6298
24	 2048	 102	24.3	  16.0557	 6.5506
25	 2149	  90	19.8	  15.6748	 6.6021
26	 2270	  84	20.5	  15.8005	 6.6938
27	 2434	  85	16.2	  15.8272	 6.2837
28	 2462	  60	13.6	  16.4947	 6.5865
29	 2569	  56	12.0	  15.7852	 6.6989
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2996	  37	17.6	  15.7528	 6.0205
32	 2941	  85	16.8	  15.9397	 5.7769
33	 3270	  51	16.3	  15.9079	 6.0648
34	 3028	  42	17.8	  15.8675	 6.8687
35	 2574	  13	22.4	  15.8652	 6.5646
36	 3173	  26	10.0	  15.8167	 7.4167
37	 3165	  53	10.2	  16.0663	 6.3701
38	    0	   0	 0.0	   0.0000	 0.0000
