order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  142	 200	17.5	  15.2220	 6.2688
 1	  177	 199	14.9	  15.7046	 5.3188
 2	  309	 218	21.2	  15.7222	 6.2474
 3	  366	 206	21.5	  16.1508	 6.1420
 4	  397	 210	19.6	  16.1342	 5.4059
 5	  490	 214	21.3	  15.8027	 5.6818
 6	  554	 197	24.0	  15.8834	 5.7015
 7	  607	 181	23.4	  15.4186	 5.9019
 8	  633	 178	20.9	  16.0830	 5.9837
 9	  627	 147	17.3	  16.1001	 5.6266
10	  797	 189	19.8	  15.3140	 6.3377
11	  920	 186	20.5	  15.8165	 5.6449
12	  978	 163	21.9	  15.7500	 6.9792
13	  993	 136	22.3	  15.7742	 6.2001
14	 1071	 130	17.6	  16.1474	 5.8027
15	 1089	 131	17.5	  15.9119	 6.0672
16	 1197	 126	15.8	  15.9364	 5.5322
17	 1145	 138	15.6	  16.1347	 5.8367
18	 1342	 106	22.3	  15.8405	 6.0884
19	 1482	 128	20.2	  15.9279	 5.9408
20	 1493	 128	19.1	  15.1839	 6.0243
21	 1729	 124	21.7	  15.6084	 7.6046
22	 1704	 121	23.3	  16.0335	 6.2219
23	 1720	 120	21.6	  15.8922	 6.6265
24	 1775	 102	24.4	  15.9911	 6.3817
25	 1859	  90	19.8	  15.4866	 6.6933
26	 1960	  84	20.3	  15.6787	 6.6661
27	 2098	  85	15.6	  15.7608	 6.5183
28	 2096	  60	13.6	  16.2945	 6.2394
29	 2187	  56	11.5	  15.6292	 6.7314
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2510	  37	17.3	  15.6546	 6.2279
32	 2463	  85	16.9	  15.9156	 5.7727
33	 2729	  51	16.5	  15.8798	 6.0935
34	 2499	  42	17.2	  15.7208	 7.1492
35	 2175	  13	22.6	  15.3781	 6.7292
36	 2589	  26	 9.8	  15.7568	 6.9004
37	 2569	  53	10.8	  16.1010	 6.2955
38	    0	   0	 0.0	   0.0000	 0.0000
