order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  147	 200	17.5	  15.3369	 6.4636
 1	  178	 199	14.9	  15.7367	 5.4893
 2	  308	 218	21.4	  15.9672	 5.9488
 3	  361	 206	21.7	  16.1903	 5.8628
 4	  388	 210	19.8	  16.2569	 5.4153
 5	  475	 214	21.4	  15.8292	 5.8031
 6	  535	 197	24.0	  16.1296	 5.6701
 7	  582	 181	23.8	  15.4453	 5.8509
 8	  602	 178	20.6	  16.2012	 6.1583
 9	  599	 147	17.3	  16.2573	 5.5209
10	  761	 189	20.6	  15.9703	 6.1075
11	  869	 186	20.7	  15.8690	 5.5893
12	  929	 163	22.2	  15.7324	 6.9780
13	  943	 136	22.3	  15.9546	 6.2385
14	 1018	 130	17.7	  15.9746	 5.8431
15	 1035	 131	17.5	  15.8453	 6.1033
16	 1138	 126	15.5	  16.1063	 5.6307
17	 1096	 138	15.7	  16.2188	 5.7361
18	 1279	 106	22.0	  15.8799	 6.0664
19	 1419	 128	20.3	  16.0497	 5.9090
20	 1428	 128	19.3	  15.3419	 6.0697
21	 1667	 124	21.5	  15.7459	 7.6842
22	 1645	 121	23.2	  16.0980	 6.2259
23	 1664	 120	21.5	  16.0630	 6.5941
24	 1728	 102	24.4	  16.0680	 6.4518
25	 1814	  90	19.8	  15.6905	 6.5857
26	 1913	  84	20.4	  15.7508	 6.6569
27	 2051	  85	15.8	  15.7364	 6.4382
28	 2069	  60	13.3	  16.3207	 6.2971
29	 2159	  56	11.8	  15.7845	 6.8375
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2510	  37	17.2	  15.6541	 6.2306
32	 2487	  85	16.8	  15.9129	 5.6727
33	 2778	  51	16.6	  15.8632	 6.1162
34	 2560	  42	17.6	  15.8073	 6.8711
35	 2227	  13	23.0	  15.6765	 6.4817
36	 2664	  26	10.0	  15.6415	 6.9603
37	 2683	  53	10.5	  16.2169	 6.6580
38	    0	   0	 0.0	   0.0000	 0.0000
