order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  176	 200	18.0	  15.6195	 6.5144
 1	  214	 199	15.2	  15.9462	 5.4521
 2	  376	 218	21.3	  15.8592	 6.3065
 3	  444	 206	21.6	  16.1135	 6.0210
 4	  476	 210	19.7	  16.2225	 5.5268
 5	  581	 214	21.5	  15.8920	 5.7445
 6	  657	 197	24.0	  16.0327	 5.6305
 7	  714	 181	24.2	  15.5861	 5.9537
 8	  733	 178	20.8	  16.2228	 6.1901
 9	  732	 147	17.4	  16.3061	 5.7301
10	  925	 189	20.4	  15.9014	 6.0586
11	 1064	 186	20.7	  15.9297	 5.5337
12	 1132	 163	22.0	  15.7391	 7.0643
13	 1151	 136	22.1	  15.9422	 6.1843
14	 1239	 130	17.5	  16.1115	 5.8869
15	 1260	 131	17.8	  15.8667	 6.0102
16	 1386	 126	15.7	  15.9723	 5.5073
17	 1328	 138	15.7	  16.2582	 5.7785
18	 1555	 106	22.2	  15.8873	 5.9807
19	 1729	 128	20.3	  16.0327	 5.8875
20	 1740	 128	19.4	  15.3061	 6.0699
21	 2028	 124	21.7	  15.8102	 7.5471
22	 2003	 121	23.2	  16.1360	 6.2110
23	 2024	 120	21.6	  16.0996	 6.6128
24	 2098	 102	24.6	  16.0593	 6.5359
25	 2207	  90	19.9	  15.7063	 6.6242
26	 2321	  84	20.5	  15.8233	 6.6063
27	 2501	  85	16.0	  15.6718	 6.3530
28	 2512	  60	13.7	  16.3802	 6.4945
29	 2633	  56	11.8	  15.8450	 6.9048
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3044	  37	17.4	  15.6125	 6.1451
32	 3013	  85	16.7	  15.9488	 5.8805
33	 3354	  51	16.5	  15.9017	 6.2008
34	 3087	  42	18.0	  15.7545	 6.7240
35	 2679	  13	22.2	  15.5488	 6.5746
36	 3221	  26	 9.4	  16.1416	 7.4499
37	 3254	  53	10.5	  16.1118	 6.5734
38	    0	   0	 0.0	   0.0000	 0.0000
