order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  160	 200	17.9	  15.4107	 6.2482
 1	  197	 199	14.9	  15.8210	 5.4478
 2	  345	 218	21.3	  15.9650	 6.2987
 3	  405	 206	21.5	  16.2090	 5.9717
 4	  435	 210	19.4	  16.3329	 5.5070
 5	  536	 214	21.1	  15.8391	 5.7338
 6	  604	 197	23.9	  15.9629	 5.7325
 7	  663	 181	23.5	  15.6624	 5.8398
 8	  684	 178	20.7	  16.2504	 6.1132
 9	  681	 147	17.2	  16.1103	 5.8078
10	  863	 189	20.4	  15.9358	 6.0794
11	  988	 186	20.5	  15.8864	 5.6045
12	 1056	 163	22.1	  15.6685	 7.0222
13	 1073	 136	22.3	  15.8823	 6.2449
14	 1161	 130	17.6	  16.0988	 5.8775
15	 1181	 131	17.2	  15.9909	 6.0680
16	 1299	 126	15.6	  16.0243	 5.6533
17	 1246	 138	15.6	  16.2153	 5.7370
18	 1460	 106	22.2	  15.9348	 6.0010
19	 1624	 128	20.3	  16.0209	 5.8359
20	 1629	 128	19.6	  15.3161	 6.0489
21	 1910	 124	21.7	  15.7411	 7.5871
22	 1886	 121	23.3	  16.1114	 6.1228
23	 1903	 120	21.7	  16.0897	 6.5335
24	 1970	 102	24.6	  16.0709	 6.4003
25	 2079	  90	19.6	  15.6626	 6.5169
26	 2182	  84	20.7	  15.7812	 6.6269
27	 2364	  85	15.9	  15.7299	 6.4295
28	 2364	  60	13.6	  16.2500	 6.2923
29	 2477	  56	11.9	  15.6909	 6.9675
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2873	  37	17.8	  15.7352	 6.1533
32	 2848	  85	16.8	  15.9200	 5.8874
33	 3166	  51	16.6	  15.9324	 6.1852
34	 2937	  42	17.6	  15.9068	 6.7953
35	 2526	  13	23.6	  15.7349	 6.1913
36	 3069	  26	10.0	  15.8219	 6.9271
37	 3068	  53	10.3	  15.8988	 6.2809
38	    0	   0	 0.0	   0.0000	 0.0000
