order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  130	 200	17.9	  15.6058	 5.8744
 1	  158	 199	14.3	  15.6745	 5.2860
 2	  272	 218	21.0	  16.0094	 6.2646
 3	  315	 206	21.2	  16.2811	 6.1101
 4	  342	 210	19.2	  16.2685	 5.4840
 5	  416	 214	21.0	  15.9441	 5.7905
 6	  464	 197	23.7	  16.0627	 5.5932
 7	  506	 181	23.3	  15.6139	 5.8685
 8	  521	 178	20.6	  16.1871	 6.1998
 9	  522	 147	17.4	  16.4672	 5.5742
10	  657	 189	20.4	  15.9513	 6.0935
11	  752	 186	20.6	  15.9035	 5.6733
12	  803	 163	21.9	  15.7901	 7.1042
13	  814	 136	22.8	  15.8842	 6.1664
14	  878	 130	17.6	  16.0846	 5.9132
15	  895	 131	17.4	  15.9640	 6.0404
16	  985	 126	15.8	  15.9087	 5.5957
17	  948	 138	15.1	  16.3872	 5.8521
18	 1103	 106	22.1	  15.9026	 5.9970
19	 1224	 128	19.9	  15.9753	 5.8632
20	 1239	 128	19.2	  15.3905	 6.0428
21	 1437	 124	21.4	  15.6836	 7.4877
22	 1420	 121	22.9	  16.1348	 6.1457
23	 1437	 120	21.6	  16.0836	 6.6233
24	 1490	 102	24.4	  16.1371	 6.4801
25	 1561	  90	19.5	  15.6207	 6.5663
26	 1657	  84	20.4	  15.8633	 6.6569
27	 1780	  85	15.9	  15.9236	 6.3018
28	 1793	  60	13.6	  16.4804	 6.5214
29	 1865	  56	11.7	  15.9798	 6.7622
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2179	  37	17.6	  15.7695	 5.9990
32	 2149	  85	16.7	  16.1054	 5.7850
33	 2394	  51	16.3	  15.9259	 6.2534
34	 2200	  42	17.5	  15.7404	 6.7719
35	 1883	  13	23.2	  15.5481	 5.9994
36	 2334	  26	 9.7	  16.0946	 7.1104
37	 2311	  53	10.6	  16.1177	 6.3362
38	    0	   0	 0.0	   0.0000	 0.0000
