order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  107	 200	15.9	  15.4617	 6.2812
 1	  129	 199	13.8	  15.6420	 4.8317
 2	  216	 218	20.3	  16.0683	 6.2373
 3	  253	 206	20.6	  16.0438	 6.0170
 4	  272	 210	18.4	  16.1829	 5.4366
 5	  332	 214	21.1	  15.8482	 5.4943
 6	  374	 197	23.1	  16.0653	 5.7828
 7	  409	 181	23.3	  15.4762	 6.0322
 8	  421	 178	20.2	  16.2426	 6.1972
 9	  420	 147	17.4	  16.2978	 5.6040
10	  534	 189	20.4	  15.8858	 6.0564
11	  611	 186	20.9	  15.9374	 5.5245
12	  656	 163	21.9	  15.7405	 7.0567
13	  668	 136	22.4	  15.7908	 6.2148
14	  721	 130	17.8	  16.0913	 5.9115
15	  736	 131	17.9	  15.9086	 6.0920
16	  817	 126	15.6	  16.0317	 5.6400
17	  788	 138	15.7	  16.0398	 5.6264
18	  920	 106	22.3	  15.8790	 5.9955
19	 1023	 128	20.1	  15.9409	 5.8828
20	 1029	 128	19.0	  15.4103	 6.0807
21	 1197	 124	21.2	  15.7123	 7.4152
22	 1185	 121	23.1	  16.1385	 6.2093
23	 1204	 120	21.4	  16.0486	 6.6828
24	 1246	 102	24.2	  15.9640	 6.4915
25	 1310	  90	19.3	  15.7202	 6.5495
26	 1378	  84	20.4	  15.8403	 6.7631
27	 1484	  85	15.9	  15.6526	 6.4074
28	 1493	  60	13.3	  16.3559	 6.4069
29	 1572	  56	11.6	  15.7871	 7.0185
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1831	  37	17.4	  15.7732	 6.1205
32	 1803	  85	16.8	  15.9533	 5.7979
33	 2010	  51	16.3	  16.0667	 6.0905
34	 1861	  42	17.5	  15.6735	 6.9217
35	 1603	  13	21.8	  15.7755	 6.6396
36	 1946	  26	10.5	  16.0789	 6.9461
37	 1963	  53	10.4	  16.1572	 6.1454
38	    0	   0	 0.0	   0.0000	 0.0000
