order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  270	 200	19.2	  15.2604	 6.4316
 1	  329	 199	16.4	  15.4894	 5.2492
 2	  594	 218	21.9	  15.9709	 6.2150
 3	  691	 206	22.6	  16.2248	 5.9299
 4	  741	 210	19.9	  16.2006	 5.4334
 5	  909	 214	21.4	  15.8793	 5.7732
 6	 1020	 197	23.8	  16.0792	 5.6987
 7	 1115	 181	23.5	  15.6187	 5.9070
 8	 1141	 178	20.9	  16.1965	 6.0325
 9	 1127	 147	17.4	  16.2159	 5.6212
10	 1431	 189	20.3	  15.9835	 6.1479
11	 1638	 186	20.7	  15.9517	 5.6210
12	 1744	 163	22.2	  15.7651	 7.0579
13	 1772	 136	22.4	  15.8975	 6.2045
14	 1902	 130	17.6	  16.1078	 5.8647
15	 1931	 131	17.7	  15.9937	 6.1461
16	 2112	 126	16.0	  15.9921	 5.5816
17	 2018	 138	15.8	  16.2553	 5.8108
18	 2365	 106	22.4	  15.9673	 5.9693
19	 2613	 128	20.3	  16.0625	 5.9211
20	 2632	 128	19.6	  15.4216	 6.0172
21	 3059	 124	21.6	  15.7813	 7.6472
22	 3025	 121	23.3	  16.1554	 6.1756
23	 3046	 120	21.7	  16.0483	 6.6049
24	 3149	 102	24.8	  16.0880	 6.4523
25	 3313	  90	19.8	  15.7732	 6.5524
26	 3478	  84	20.7	  15.8552	 6.7008
27	 3749	  85	16.1	  15.7797	 6.4294
28	 3765	  60	13.7	  16.4149	 6.3154
29	 3933	  56	11.9	  15.9057	 6.8202
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4555	  37	18.0	  15.7812	 6.2081
32	 4494	  85	17.0	  16.0040	 5.8638
33	 4995	  51	16.7	  15.8539	 6.1939
34	 4602	  42	17.9	  15.8218	 6.8900
35	 3929	  13	23.0	  15.6627	 6.4879
36	 4786	  26	 9.8	  15.9457	 7.1646
37	 4772	  53	10.8	  15.9729	 6.5110
38	    0	   0	 0.0	   0.0000	 0.0000
