#    File Name               Date (MJD)      Phase         RV obs     RV theo (km/s)
  2013-09-18T19_00_24.535    56553.789410      9.692072    15.8845    -0.0513
  2013-09-19T19_01_04.800    56554.790058     10.147451    16.0165     0.0865
  2013-09-20T19_28_07.610    56555.808461     10.610909    15.8266    -0.1104
  2013-09-21T19_17_34.966    56556.801516     11.062832    16.0875     0.1329
  2013-10-17T18_25_22.631    56582.766840     22.879216    16.0505     0.1045
  2014-05-15T01_24_12.379    56792.055741    118.123096    16.0393     0.1030
  2014-06-06T21_25_39.458    56814.891620    128.515323    15.8146    -0.1433
  2014-06-27T20_46_52.764    56835.863299    138.059183    16.0656     0.1342
  2014-07-10T21_15_23.583    56848.881944    143.983751    16.0584     0.1433
  2014-09-02T19_18_45.168    56902.802326    168.522015    15.7830    -0.1426
  2015-06-12T23_19_47.717    57185.969375    297.386605    15.8418    -0.1090
  2015-06-28T21_39_23.324    57201.900023    304.636376    15.7999    -0.0943
  2016-05-07T23_15_48.413    57515.963171    447.561264    15.7756    -0.1335
  2017-01-07T05_21_23.050    57760.216968    558.717083    15.8576    -0.0296
  2017-06-18T22_29_42.662    57922.936424    632.767987    15.8532     0.0162
  2017-06-18T22_34_39.441    57922.937986    632.768698    15.8763     0.0169
  2018-06-20T22_21_28.522    58289.929248    799.780285    15.8738     0.0272
