order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  104	 200	16.2	  15.1831	 6.2661
 1	  126	 199	13.4	  16.0532	 5.6291
 2	  212	 218	20.3	  15.8634	 6.3233
 3	  246	 206	20.7	  16.2795	 5.9887
 4	  262	 210	18.6	  16.0067	 5.5233
 5	  323	 214	20.5	  15.8433	 5.7536
 6	  363	 197	23.2	  16.1084	 5.7433
 7	  396	 181	23.8	  15.3959	 5.7973
 8	  408	 178	20.8	  16.0674	 6.0040
 9	  410	 147	17.4	  16.2269	 5.4968
10	  520	 189	20.1	  16.0050	 6.2196
11	  595	 186	20.9	  15.9196	 5.5563
12	  635	 163	22.0	  15.7361	 7.0059
13	  649	 136	22.5	  15.8520	 6.1692
14	  700	 130	17.8	  16.1352	 5.8570
15	  716	 131	17.3	  15.8083	 6.1015
16	  796	 126	16.0	  15.8997	 5.4368
17	  773	 138	15.4	  16.2433	 5.7875
18	  894	 106	22.2	  15.9782	 5.9108
19	  992	 128	20.0	  15.9767	 5.9367
20	  999	 128	19.3	  15.4169	 5.9372
21	 1162	 124	21.2	  15.6654	 7.4653
22	 1153	 121	23.1	  16.1532	 6.1926
23	 1164	 120	21.6	  16.0574	 6.5238
24	 1208	 102	24.4	  15.9886	 6.4537
25	 1275	  90	19.6	  15.5572	 6.7190
26	 1344	  84	20.4	  15.7952	 6.7716
27	 1445	  85	16.3	  15.6517	 6.2922
28	 1445	  60	13.3	  16.2213	 6.3836
29	 1523	  56	11.7	  15.5884	 7.0653
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1771	  37	17.5	  15.7455	 6.0382
32	 1748	  85	16.4	  15.9756	 5.8728
33	 1957	  51	16.8	  16.0705	 6.2202
34	 1801	  42	17.5	  15.8156	 6.8861
35	 1555	  13	23.2	  15.7120	 5.8301
36	 1898	  26	 9.7	  15.9454	 6.5248
37	 1903	  53	10.4	  15.9845	 6.4081
38	    0	   0	 0.0	   0.0000	 0.0000
