order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  142	 200	17.7	  15.3496	 6.0824
 1	  171	 199	14.9	  15.6483	 5.1206
 2	  300	 218	21.1	  15.8135	 6.1427
 3	  353	 206	21.6	  16.1689	 5.9217
 4	  377	 210	19.4	  16.2170	 5.5913
 5	  461	 214	21.2	  15.8088	 5.7541
 6	  523	 197	23.5	  16.0245	 5.7062
 7	  571	 181	23.4	  15.5510	 5.8007
 8	  589	 178	20.9	  16.1650	 6.1580
 9	  587	 147	17.4	  16.1371	 5.5969
10	  743	 189	20.3	  15.8787	 6.1410
11	  856	 186	20.7	  15.8620	 5.5779
12	  913	 163	21.9	  15.6970	 7.0691
13	  936	 136	21.9	  15.8844	 6.1204
14	 1005	 130	17.6	  16.0811	 5.9501
15	 1023	 131	17.5	  16.0139	 6.0695
16	 1127	 126	15.7	  15.9159	 5.6219
17	 1083	 138	15.8	  16.1658	 5.6683
18	 1266	 106	22.0	  15.9618	 6.0333
19	 1406	 128	20.0	  16.0380	 5.9924
20	 1417	 128	19.4	  15.5000	 6.0238
21	 1658	 124	21.5	  15.8095	 7.6259
22	 1638	 121	23.2	  16.1881	 6.2266
23	 1650	 120	21.5	  16.0560	 6.6233
24	 1711	 102	24.4	  16.0295	 6.5349
25	 1801	  90	20.3	  15.7009	 6.4292
26	 1894	  84	20.6	  15.7406	 6.6018
27	 2039	  85	16.1	  15.7376	 6.3421
28	 2056	  60	13.6	  16.4973	 6.2115
29	 2155	  56	11.9	  15.6810	 6.7235
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2517	  37	17.5	  15.9260	 6.0043
32	 2478	  85	16.8	  15.8872	 5.8273
33	 2749	  51	16.7	  15.9297	 6.2507
34	 2554	  42	17.8	  15.7638	 6.7503
35	 2189	  13	21.9	  15.4739	 6.6640
36	 2690	  26	 9.8	  15.7432	 6.9062
37	 2674	  53	10.9	  16.0505	 6.2413
38	    0	   0	 0.0	   0.0000	 0.0000
