order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  702	 200	20.4	  15.3652	 6.2286
 1	  868	 199	16.6	  15.6474	 5.3281
 2	 1569	 218	22.0	  15.8086	 6.1240
 3	 1833	 206	22.3	  16.0299	 5.9563
 4	 1965	 210	20.0	  16.1244	 5.4811
 5	 2411	 214	21.6	  15.7199	 5.7218
 6	 2721	 197	24.0	  15.8745	 5.6758
 7	 2962	 181	23.7	  15.4242	 5.9075
 8	 3044	 178	21.1	  16.0300	 6.1669
 9	 3024	 147	17.6	  16.0745	 5.6035
10	 3826	 189	20.8	  15.7504	 6.1339
11	 4402	 186	21.0	  15.7697	 5.6262
12	 4695	 163	22.4	  15.6084	 7.0986
13	 4769	 136	22.7	  15.7529	 6.1736
14	 5141	 130	17.9	  15.9953	 5.9207
15	 5189	 131	18.1	  15.7992	 6.0288
16	 5649	 126	16.3	  15.9008	 5.6069
17	 5416	 138	16.2	  16.1098	 5.7909
18	 6333	 106	23.0	  15.8233	 6.0242
19	 7050	 128	20.9	  15.9076	 5.9144
20	 7095	 128	20.0	  15.2513	 6.0734
21	 8298	 124	22.3	  15.6327	 7.6217
22	 8204	 121	24.0	  16.0222	 6.1749
23	 8263	 120	22.4	  15.9446	 6.6322
24	 8562	 102	25.5	  15.9357	 6.4763
25	 9000	  90	20.4	  15.5769	 6.5298
26	 9508	  84	21.4	  15.6841	 6.6327
27	10235	  85	16.4	  15.6652	 6.4090
28	10284	  60	14.3	  16.2570	 6.2743
29	10718	  56	12.2	  15.6257	 6.9020
30	    0	   0	 0.0	   0.0000	 0.0000
31	12433	  37	18.1	  15.6361	 6.1255
32	12316	  85	17.5	  15.8057	 5.7836
33	13646	  51	17.2	  15.7459	 6.2566
34	12522	  42	18.3	  15.6429	 6.7579
35	10650	  13	23.7	  15.5814	 6.3964
36	13033	  26	10.3	  15.7080	 6.8653
37	12999	  53	10.9	  15.8724	 6.4571
38	    0	   0	 0.0	   0.0000	 0.0000
