order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  139	 200	17.4	  15.7837	 6.5233
 1	  169	 199	14.1	  15.8318	 5.4447
 2	  296	 218	20.8	  16.0900	 6.1934
 3	  342	 206	21.5	  16.1664	 5.9957
 4	  368	 210	19.6	  16.3794	 5.4092
 5	  453	 214	21.0	  16.0139	 5.8059
 6	  511	 197	23.7	  16.2615	 5.6327
 7	  554	 181	23.7	  15.6130	 5.8825
 8	  574	 178	20.7	  16.2038	 6.0217
 9	  573	 147	17.0	  16.3330	 5.6120
10	  728	 189	20.3	  16.0078	 6.1217
11	  830	 186	20.7	  16.0521	 5.6211
12	  885	 163	22.1	  15.9087	 6.9199
13	  904	 136	22.3	  16.0025	 6.2573
14	  971	 130	17.7	  16.2793	 5.9235
15	  992	 131	17.6	  16.0030	 6.1023
16	 1085	 126	15.4	  16.1989	 5.6860
17	 1048	 138	15.7	  16.3478	 5.8038
18	 1217	 106	22.2	  16.1077	 6.0521
19	 1345	 128	19.9	  16.1322	 5.9477
20	 1361	 128	19.2	  15.4569	 6.0664
21	 1589	 124	21.6	  15.9125	 7.5340
22	 1570	 121	23.0	  16.3656	 6.2408
23	 1581	 120	21.5	  16.1668	 6.6036
24	 1634	 102	24.4	  16.2397	 6.4854
25	 1715	  90	19.9	  15.7177	 6.6222
26	 1807	  84	20.6	  15.9809	 6.6643
27	 1935	  85	16.0	  15.8007	 6.4805
28	 1957	  60	13.3	  16.4913	 6.6260
29	 2037	  56	11.6	  15.9580	 7.0526
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2360	  37	17.3	  15.6111	 6.2340
32	 2327	  85	16.9	  16.0439	 5.7768
33	 2568	  51	16.5	  15.8864	 6.1193
34	 2369	  42	17.8	  15.8184	 6.9152
35	 2025	  13	22.9	  15.8126	 6.3378
36	 2464	  26	 9.9	  15.9049	 6.9207
37	 2459	  53	10.2	  16.1329	 6.4383
38	    0	   0	 0.0	   0.0000	 0.0000
