order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  218	 200	19.0	  15.2904	 5.9015
 1	  280	 199	15.1	  15.5220	 5.2839
 2	  515	 218	21.1	  15.6598	 6.1525
 3	  630	 206	21.6	  16.0819	 6.0511
 4	  714	 210	19.1	  16.1303	 5.5991
 5	  903	 214	20.9	  15.7425	 5.6638
 6	 1058	 197	23.6	  15.9427	 5.7042
 7	 1199	 181	23.3	  15.4126	 5.8048
 8	 1272	 178	20.7	  15.9539	 6.0446
 9	 1308	 147	17.2	  16.0675	 5.5217
10	 1694	 189	19.8	  15.3706	 6.2981
11	 1997	 186	20.5	  15.7557	 5.6311
12	 2173	 163	22.1	  15.7004	 7.0257
13	 2269	 136	22.2	  15.7164	 6.2631
14	 2485	 130	17.5	  16.0172	 5.8895
15	 2562	 131	17.5	  15.7747	 6.1554
16	 2834	 126	15.8	  15.8949	 5.6391
17	 2768	 138	15.7	  16.0749	 5.7718
18	 3270	 106	22.5	  15.8301	 5.9926
19	 3677	 128	20.4	  15.9338	 5.9523
20	 3749	 128	19.5	  15.2283	 6.0397
21	 4407	 124	21.8	  15.6359	 7.6557
22	 4392	 121	23.5	  15.9889	 6.2458
23	 4485	 120	21.7	  15.9405	 6.6819
24	 4652	 102	24.8	  15.9033	 6.4730
25	 4917	  90	20.0	  15.5536	 6.6610
26	 5208	  84	20.8	  15.7356	 6.7032
27	 5625	  85	16.0	  15.6791	 6.3968
28	 5689	  60	13.9	  16.1860	 6.3647
29	 5949	  56	12.1	  15.6527	 6.7453
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6914	  37	17.7	  15.5685	 6.2061
32	 6839	  85	17.2	  15.8205	 5.8537
33	 7579	  51	16.8	  15.7588	 6.1640
34	 6957	  42	17.8	  15.6190	 6.9252
35	 5917	  13	23.1	  15.6066	 6.4657
36	 7232	  26	10.1	  15.9534	 6.8361
37	 7192	  53	10.6	  15.8944	 6.5925
38	    0	   0	 0.0	   0.0000	 0.0000
