order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  226	 200	19.1	  15.1536	 6.4715
 1	  275	 199	15.8	  15.6564	 5.1177
 2	  491	 218	21.7	  15.9414	 6.1856
 3	  575	 206	22.0	  16.1080	 5.9146
 4	  613	 210	19.6	  16.3109	 5.4673
 5	  756	 214	21.0	  15.7926	 5.8660
 6	  846	 197	23.7	  15.9530	 5.6872
 7	  922	 181	23.6	  15.5196	 5.8597
 8	  951	 178	20.7	  16.0508	 6.1394
 9	  943	 147	17.1	  16.0806	 5.7156
10	 1188	 189	20.3	  15.8782	 6.2178
11	 1361	 186	20.6	  15.8315	 5.6380
12	 1446	 163	22.0	  15.7212	 6.9812
13	 1473	 136	22.3	  15.8556	 6.2506
14	 1583	 130	17.5	  16.0731	 5.9876
15	 1606	 131	17.6	  15.8275	 6.1255
16	 1758	 126	15.7	  15.9113	 5.6337
17	 1688	 138	15.7	  16.1114	 5.8612
18	 1965	 106	22.1	  15.8508	 6.0592
19	 2184	 128	20.3	  15.9453	 5.9006
20	 2200	 128	19.5	  15.2986	 6.0135
21	 2568	 124	21.6	  15.6497	 7.5478
22	 2533	 121	23.2	  16.0644	 6.1778
23	 2555	 120	21.7	  16.0570	 6.6079
24	 2639	 102	24.5	  16.0241	 6.4676
25	 2779	  90	19.7	  15.5649	 6.5880
26	 2924	  84	20.4	  15.8150	 6.7647
27	 3135	  85	16.0	  15.7235	 6.4641
28	 3166	  60	13.4	  16.2497	 6.4741
29	 3305	  56	11.7	  15.7103	 6.8608
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3817	  37	17.6	  15.7315	 6.1358
32	 3778	  85	16.9	  15.8848	 5.7986
33	 4194	  51	16.4	  15.7021	 6.2037
34	 3866	  42	17.8	  15.6591	 6.7185
35	 3323	  13	22.6	  15.6896	 6.5012
36	 4048	  26	10.1	  15.6938	 6.6832
37	 4027	  53	10.7	  15.9087	 6.4376
38	    0	   0	 0.0	   0.0000	 0.0000
