order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  171	 200	18.4	  15.6373	 6.1250
 1	  206	 199	15.3	  15.7650	 5.1804
 2	  364	 218	21.2	  15.9062	 6.2878
 3	  426	 206	21.8	  16.2240	 5.9444
 4	  458	 210	19.8	  16.2546	 5.3823
 5	  566	 214	20.9	  15.8901	 5.7650
 6	  637	 197	23.7	  16.0257	 5.7461
 7	  694	 181	23.4	  15.6223	 5.9646
 8	  714	 178	21.0	  16.1717	 6.1241
 9	  713	 147	17.5	  16.2151	 5.6205
10	  904	 189	20.4	  15.8918	 6.0951
11	 1039	 186	20.7	  15.8053	 5.6053
12	 1107	 163	21.9	  15.7929	 7.0260
13	 1127	 136	22.6	  15.9065	 6.1151
14	 1214	 130	17.3	  16.2044	 6.0022
15	 1239	 131	17.5	  15.9785	 6.0588
16	 1360	 126	15.7	  16.0558	 5.5941
17	 1311	 138	15.4	  16.2461	 5.8217
18	 1528	 106	22.1	  15.9303	 6.0606
19	 1704	 128	20.2	  16.0064	 5.9434
20	 1718	 128	19.2	  15.3027	 6.1021
21	 2004	 124	21.7	  15.7303	 7.6278
22	 1991	 121	23.4	  16.1113	 6.1315
23	 2005	 120	21.6	  16.0530	 6.6024
24	 2076	 102	24.6	  16.0489	 6.3999
25	 2188	  90	19.8	  15.6098	 6.5486
26	 2304	  84	20.5	  15.8015	 6.6274
27	 2479	  85	15.8	  15.8584	 6.5004
28	 2501	  60	13.7	  16.4643	 6.3859
29	 2613	  56	11.8	  15.7440	 7.0039
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3043	  37	17.5	  15.7754	 6.2170
32	 3007	  85	16.7	  15.8878	 5.8145
33	 3343	  51	16.7	  15.8986	 6.1059
34	 3106	  42	17.7	  15.7772	 6.8023
35	 2657	  13	23.5	  15.3968	 6.3296
36	 3254	  26	 9.7	  16.0429	 7.1884
37	 3235	  53	10.5	  15.8481	 6.5464
38	    0	   0	 0.0	   0.0000	 0.0000
