order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  152	 200	17.3	  15.4251	 6.6497
 1	  184	 199	15.2	  15.6666	 5.6273
 2	  325	 218	21.0	  15.8883	 6.1913
 3	  378	 206	21.8	  16.0931	 5.9566
 4	  407	 210	19.6	  16.2689	 5.4403
 5	  497	 214	21.4	  15.8204	 5.7070
 6	  564	 197	23.5	  16.0389	 5.6361
 7	  611	 181	23.7	  15.5973	 5.8998
 8	  633	 178	20.8	  16.1560	 6.0758
 9	  632	 147	17.4	  16.0872	 5.5703
10	  798	 189	20.7	  15.8422	 6.1629
11	  915	 186	20.7	  15.8553	 5.5811
12	  974	 163	22.0	  15.7834	 6.9437
13	  995	 136	22.1	  15.9344	 6.2331
14	 1074	 130	17.5	  16.0683	 5.9020
15	 1095	 131	17.3	  15.9250	 6.0961
16	 1195	 126	15.5	  15.9242	 5.6224
17	 1151	 138	15.6	  16.1425	 5.8088
18	 1349	 106	21.8	  15.8621	 6.1408
19	 1495	 128	20.2	  15.9494	 5.9665
20	 1506	 128	19.4	  15.4021	 6.0745
21	 1753	 124	21.7	  15.7490	 7.6174
22	 1739	 121	23.3	  16.1902	 6.2639
23	 1750	 120	21.7	  16.0720	 6.5762
24	 1818	 102	24.6	  16.0255	 6.4948
25	 1913	  90	19.8	  15.7099	 6.6601
26	 2011	  84	20.3	  15.7588	 6.6513
27	 2168	  85	15.9	  15.7410	 6.2132
28	 2178	  60	13.6	  16.3719	 6.4079
29	 2284	  56	11.7	  15.9456	 6.8610
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2655	  37	17.4	  15.6264	 6.2515
32	 2621	  85	17.0	  15.9566	 5.7339
33	 2903	  51	16.7	  15.7958	 6.1675
34	 2696	  42	17.6	  15.8434	 6.7345
35	 2290	  13	22.4	  15.7962	 6.3346
36	 2850	  26	 9.9	  16.2209	 6.3826
37	 2825	  53	10.4	  15.9778	 6.5111
38	    0	   0	 0.0	   0.0000	 0.0000
