order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  145	 200	17.2	  15.3646	 6.3939
 1	  176	 199	14.1	  15.9508	 5.3784
 2	  301	 218	21.1	  15.8832	 6.2011
 3	  353	 206	20.8	  16.1936	 6.0753
 4	  377	 210	19.5	  16.2354	 5.5266
 5	  463	 214	21.1	  15.9385	 5.8452
 6	  522	 197	23.5	  16.1786	 5.6749
 7	  569	 181	23.6	  15.4727	 5.8631
 8	  585	 178	20.9	  16.2448	 6.1401
 9	  586	 147	17.5	  16.1536	 5.5274
10	  738	 189	20.6	  15.9954	 6.2050
11	  844	 186	20.8	  15.8814	 5.5588
12	  901	 163	22.3	  15.7254	 7.0049
13	  914	 136	22.3	  15.9483	 6.1821
14	  989	 130	17.3	  16.0699	 5.9323
15	 1005	 131	17.4	  15.9279	 6.0660
16	 1101	 126	15.3	  15.8991	 5.7320
17	 1062	 138	15.4	  16.2987	 5.7545
18	 1237	 106	22.0	  15.9309	 6.0479
19	 1375	 128	20.1	  16.0578	 5.9941
20	 1385	 128	19.3	  15.3923	 6.0694
21	 1617	 124	21.6	  15.7105	 7.5352
22	 1601	 121	23.3	  16.2397	 6.1679
23	 1608	 120	21.8	  16.0710	 6.5750
24	 1667	 102	24.4	  16.0948	 6.4608
25	 1747	  90	19.9	  15.6798	 6.5865
26	 1858	  84	20.6	  15.7899	 6.6790
27	 1979	  85	16.0	  15.7643	 6.4803
28	 2006	  60	13.5	  16.3852	 6.4261
29	 2093	  56	12.0	  15.8636	 6.6856
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2424	  37	17.3	  15.8299	 6.1958
32	 2408	  85	16.7	  16.0108	 5.7698
33	 2669	  51	16.8	  15.9097	 6.1778
34	 2463	  42	17.7	  15.8072	 6.7494
35	 2139	  13	23.1	  15.7978	 6.4750
36	 2572	  26	 9.9	  15.8938	 6.7603
37	 2579	  53	10.4	  16.0911	 6.3745
38	    0	   0	 0.0	   0.0000	 0.0000
