order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  150	 200	18.1	  15.8275	 5.9987
 1	  181	 199	15.2	  15.6798	 5.0319
 2	  322	 218	21.5	  15.8625	 6.1764
 3	  376	 206	21.3	  16.1578	 6.1131
 4	  401	 210	19.9	  16.1642	 5.4884
 5	  490	 214	21.0	  15.7490	 5.7738
 6	  554	 197	23.9	  15.9151	 5.6424
 7	  601	 181	23.7	  15.4846	 5.8577
 8	  620	 178	21.0	  15.9507	 5.9895
 9	  612	 147	17.3	  16.1063	 5.5951
10	  779	 189	20.6	  15.8110	 6.1593
11	  894	 186	20.7	  15.8221	 5.5014
12	  946	 163	22.0	  15.7575	 7.0616
13	  963	 136	22.3	  15.8412	 6.1299
14	 1041	 130	17.6	  15.9040	 5.8736
15	 1058	 131	17.3	  15.8504	 6.1123
16	 1163	 126	15.8	  15.8541	 5.5572
17	 1115	 138	15.5	  16.1337	 5.9214
18	 1301	 106	22.2	  15.9324	 6.0262
19	 1443	 128	20.2	  15.9668	 5.9029
20	 1454	 128	19.1	  15.2739	 6.0206
21	 1694	 124	21.7	  15.7224	 7.5631
22	 1679	 121	22.9	  16.0122	 6.2131
23	 1700	 120	21.5	  15.9555	 6.5596
24	 1754	 102	24.6	  15.9792	 6.4662
25	 1853	  90	19.5	  15.5228	 6.6167
26	 1949	  84	20.6	  15.7675	 6.6192
27	 2093	  85	16.0	  15.7570	 6.2334
28	 2116	  60	13.9	  16.2447	 6.5317
29	 2220	  56	12.0	  15.7160	 6.6047
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2560	  37	17.7	  15.7791	 6.1836
32	 2545	  85	16.8	  15.8734	 5.8118
33	 2832	  51	16.7	  15.9084	 6.1906
34	 2598	  42	17.1	  15.8690	 7.0417
35	 2246	  13	22.9	  15.8435	 6.3518
36	 2702	  26	10.0	  15.8242	 6.9817
37	 2713	  53	10.8	  15.6855	 6.1595
38	    0	   0	 0.0	   0.0000	 0.0000
