order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  135	 200	16.4	  15.6263	 6.5491
 1	  162	 199	15.3	  15.6802	 5.1634
 2	  286	 218	20.8	  15.9339	 6.2124
 3	  334	 206	21.7	  16.4997	 5.9439
 4	  359	 210	19.7	  16.1523	 5.5229
 5	  442	 214	21.4	  15.9737	 5.7252
 6	  495	 197	23.5	  16.0973	 5.7329
 7	  541	 181	24.1	  15.6045	 5.7901
 8	  560	 178	20.8	  16.2329	 6.0238
 9	  560	 147	17.4	  16.2202	 5.6408
10	  711	 189	20.4	  16.0886	 6.1924
11	  815	 186	20.7	  15.9352	 5.5737
12	  873	 163	22.1	  15.8910	 6.9917
13	  896	 135	22.7	  15.9280	 6.0334
14	  961	 130	17.8	  16.1839	 5.9818
15	  982	 131	17.8	  15.9412	 6.0065
16	 1085	 126	15.6	  16.0974	 5.4964
17	 1042	 138	15.6	  16.2775	 5.8180
18	 1216	 106	22.5	  16.0264	 5.9749
19	 1355	 128	20.1	  16.1957	 5.9822
20	 1371	 128	19.3	  15.5201	 6.0224
21	 1601	 124	21.7	  15.8600	 7.6968
22	 1586	 121	23.1	  16.1786	 6.1915
23	 1602	 120	21.6	  16.2265	 6.5635
24	 1662	 102	24.7	  16.1017	 6.4343
25	 1747	  90	19.9	  15.7563	 6.4908
26	 1850	  84	20.6	  15.8053	 6.7120
27	 1999	  85	16.0	  15.8615	 6.3943
28	 2011	  60	13.7	  16.4566	 6.3313
29	 2096	  56	11.8	  15.9507	 6.8258
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2453	  37	17.5	  15.8937	 6.1375
32	 2429	  85	16.7	  15.9947	 5.9244
33	 2702	  51	16.6	  15.9298	 6.0621
34	 2503	  42	17.5	  15.8904	 6.9348
35	 2152	  13	22.7	  15.6511	 6.1918
36	 2607	  26	 9.9	  15.8240	 6.8218
37	 2613	  53	10.6	  15.9476	 6.2620
38	    0	   0	 0.0	   0.0000	 0.0000
