order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  189	 200	18.8	  15.3657	 6.4883
 1	  232	 199	15.7	  15.8842	 5.1307
 2	  410	 218	21.8	  15.9507	 6.1245
 3	  483	 206	21.7	  16.2313	 6.0553
 4	  515	 210	19.8	  16.2663	 5.5287
 5	  635	 214	21.3	  15.8856	 5.8189
 6	  714	 197	23.9	  16.0182	 5.7005
 7	  775	 181	23.8	  15.5528	 5.9461
 8	  800	 178	21.1	  16.1505	 6.0043
 9	  793	 147	17.3	  16.2650	 5.5826
10	 1006	 189	20.4	  15.9670	 6.1388
11	 1152	 186	20.6	  15.8272	 5.6063
12	 1232	 163	21.8	  15.7563	 7.0751
13	 1252	 136	22.4	  15.8603	 6.2092
14	 1357	 130	17.3	  16.1410	 5.8369
15	 1370	 131	17.5	  15.9889	 6.1449
16	 1501	 126	16.2	  16.0761	 5.4830
17	 1441	 138	15.6	  16.1719	 5.7941
18	 1683	 106	22.4	  15.9282	 5.9780
19	 1873	 128	20.3	  16.0618	 5.8994
20	 1886	 128	19.8	  15.3640	 6.0509
21	 2204	 124	21.6	  15.7541	 7.5050
22	 2178	 121	23.4	  16.1503	 6.2064
23	 2196	 120	21.8	  16.1127	 6.5961
24	 2276	 102	24.8	  16.1156	 6.4600
25	 2391	  90	20.1	  15.6663	 6.5802
26	 2524	  84	20.8	  15.8267	 6.7093
27	 2706	  85	16.0	  15.8500	 6.4466
28	 2721	  60	13.4	  16.4250	 6.2886
29	 2851	  56	11.8	  15.8212	 6.8511
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3299	  37	17.4	  15.7787	 6.1503
32	 3262	  85	16.9	  15.9786	 5.8061
33	 3625	  51	16.5	  15.7808	 6.2364
34	 3361	  42	17.6	  15.8009	 6.8577
35	 2892	  13	23.6	  15.5786	 6.4798
36	 3500	  26	 9.8	  15.8594	 6.9698
37	 3496	  53	10.5	  16.2107	 6.4875
38	    0	   0	 0.0	   0.0000	 0.0000
