order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  158	 200	18.4	  15.3224	 6.0656
 1	  194	 199	14.9	  15.9967	 5.3420
 2	  338	 218	21.2	  15.8794	 6.2407
 3	  394	 206	21.3	  16.3300	 6.0085
 4	  422	 210	19.9	  16.2791	 5.3987
 5	  517	 214	21.3	  15.8998	 5.7099
 6	  582	 197	23.9	  15.9567	 5.6896
 7	  633	 181	23.9	  15.5635	 5.8427
 8	  652	 178	20.8	  16.2253	 6.0904
 9	  652	 147	17.3	  16.2271	 5.5634
10	  821	 189	20.6	  15.8463	 6.0943
11	  943	 186	20.8	  15.9091	 5.5709
12	 1002	 163	22.1	  15.7883	 6.9651
13	 1026	 136	22.4	  15.8741	 6.2125
14	 1103	 130	17.5	  16.1082	 6.0026
15	 1122	 131	17.4	  16.0078	 5.9799
16	 1234	 126	15.5	  16.1088	 5.5639
17	 1185	 138	15.5	  16.2328	 5.7570
18	 1382	 106	22.2	  15.9196	 5.9460
19	 1539	 128	20.1	  16.1376	 5.9620
20	 1552	 128	19.2	  15.3532	 6.1682
21	 1801	 124	21.6	  15.7560	 7.7310
22	 1780	 121	23.2	  16.1723	 6.2357
23	 1805	 120	21.5	  16.0847	 6.6542
24	 1864	 102	24.2	  16.0471	 6.5452
25	 1966	  90	19.7	  15.7064	 6.6484
26	 2074	  84	20.3	  15.8311	 6.7144
27	 2223	  85	15.8	  15.7632	 6.4282
28	 2242	  60	13.3	  16.3449	 6.4616
29	 2333	  56	11.8	  15.6795	 6.7986
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2741	  37	17.4	  15.8797	 6.2829
32	 2687	  85	16.9	  16.0237	 5.7945
33	 2993	  51	16.5	  15.9194	 6.0928
34	 2764	  42	17.8	  15.8053	 6.8398
35	 2375	  13	23.2	  15.8253	 6.1915
36	 2907	  26	 9.9	  16.1661	 7.1254
37	 2903	  53	10.7	  15.9705	 6.5987
38	    0	   0	 0.0	   0.0000	 0.0000
